HeuristID,Longitude,Latitude,Year
14345,28.9812469,41.0109933,-650
14345,28.9812469,41.0109933,-649
14345,28.9812469,41.0109933,-648
14345,28.9812469,41.0109933,-647
14345,28.9812469,41.0109933,-646
14345,28.9812469,41.0109933,-645
14345,28.9812469,41.0109933,-644
14345,28.9812469,41.0109933,-643
14345,28.9812469,41.0109933,-642
14345,28.9812469,41.0109933,-641
14345,28.9812469,41.0109933,-640
14345,28.9812469,41.0109933,-639
14345,28.9812469,41.0109933,-638
14345,28.9812469,41.0109933,-637
14345,28.9812469,41.0109933,-636
14345,28.9812469,41.0109933,-635
14345,28.9812469,41.0109933,-634
14345,28.9812469,41.0109933,-633
14345,28.9812469,41.0109933,-632
14345,28.9812469,41.0109933,-631
14345,28.9812469,41.0109933,-630
14345,28.9812469,41.0109933,-629
14345,28.9812469,41.0109933,-628
14345,28.9812469,41.0109933,-627
14345,28.9812469,41.0109933,-626
14345,28.9812469,41.0109933,-625
14345,28.9812469,41.0109933,-624
14345,28.9812469,41.0109933,-623
14345,28.9812469,41.0109933,-622
14345,28.9812469,41.0109933,-621
14345,28.9812469,41.0109933,-620
14345,28.9812469,41.0109933,-619
14345,28.9812469,41.0109933,-618
14345,28.9812469,41.0109933,-617
14345,28.9812469,41.0109933,-616
14345,28.9812469,41.0109933,-615
14345,28.9812469,41.0109933,-614
14345,28.9812469,41.0109933,-613
14345,28.9812469,41.0109933,-612
14345,28.9812469,41.0109933,-611
14345,28.9812469,41.0109933,-610
14345,28.9812469,41.0109933,-609
14345,28.9812469,41.0109933,-608
14345,28.9812469,41.0109933,-607
14345,28.9812469,41.0109933,-606
14345,28.9812469,41.0109933,-605
14345,28.9812469,41.0109933,-604
14345,28.9812469,41.0109933,-603
14345,28.9812469,41.0109933,-602
14345,28.9812469,41.0109933,-601
8357,27.6940227,42.4227596,-600
14345,28.9812469,41.0109933,-600
8357,27.6940227,42.4227596,-599
14345,28.9812469,41.0109933,-599
8357,27.6940227,42.4227596,-598
14345,28.9812469,41.0109933,-598
8357,27.6940227,42.4227596,-597
14345,28.9812469,41.0109933,-597
8357,27.6940227,42.4227596,-596
14345,28.9812469,41.0109933,-596
8357,27.6940227,42.4227596,-595
14345,28.9812469,41.0109933,-595
8357,27.6940227,42.4227596,-594
14345,28.9812469,41.0109933,-594
8357,27.6940227,42.4227596,-593
14345,28.9812469,41.0109933,-593
8357,27.6940227,42.4227596,-592
14345,28.9812469,41.0109933,-592
8357,27.6940227,42.4227596,-591
14345,28.9812469,41.0109933,-591
8357,27.6940227,42.4227596,-590
14345,28.9812469,41.0109933,-590
8357,27.6940227,42.4227596,-589
14345,28.9812469,41.0109933,-589
8357,27.6940227,42.4227596,-588
14345,28.9812469,41.0109933,-588
8357,27.6940227,42.4227596,-587
14345,28.9812469,41.0109933,-587
8357,27.6940227,42.4227596,-586
14345,28.9812469,41.0109933,-586
8357,27.6940227,42.4227596,-585
14345,28.9812469,41.0109933,-585
8357,27.6940227,42.4227596,-584
14345,28.9812469,41.0109933,-584
8357,27.6940227,42.4227596,-583
14345,28.9812469,41.0109933,-583
8357,27.6940227,42.4227596,-582
14345,28.9812469,41.0109933,-582
8357,27.6940227,42.4227596,-581
14345,28.9812469,41.0109933,-581
8357,27.6940227,42.4227596,-580
14345,28.9812469,41.0109933,-580
8357,27.6940227,42.4227596,-579
14345,28.9812469,41.0109933,-579
8357,27.6940227,42.4227596,-578
14345,28.9812469,41.0109933,-578
8357,27.6940227,42.4227596,-577
14345,28.9812469,41.0109933,-577
8357,27.6940227,42.4227596,-576
14345,28.9812469,41.0109933,-576
8357,27.6940227,42.4227596,-575
14345,28.9812469,41.0109933,-575
8357,27.6940227,42.4227596,-574
14345,28.9812469,41.0109933,-574
8357,27.6940227,42.4227596,-573
14345,28.9812469,41.0109933,-573
8357,27.6940227,42.4227596,-572
14345,28.9812469,41.0109933,-572
8357,27.6940227,42.4227596,-571
14345,28.9812469,41.0109933,-571
8357,27.6940227,42.4227596,-570
14345,28.9812469,41.0109933,-570
8357,27.6940227,42.4227596,-569
14345,28.9812469,41.0109933,-569
8357,27.6940227,42.4227596,-568
14345,28.9812469,41.0109933,-568
8357,27.6940227,42.4227596,-567
14345,28.9812469,41.0109933,-567
8357,27.6940227,42.4227596,-566
14345,28.9812469,41.0109933,-566
8357,27.6940227,42.4227596,-565
14345,28.9812469,41.0109933,-565
8357,27.6940227,42.4227596,-564
14345,28.9812469,41.0109933,-564
8357,27.6940227,42.4227596,-563
14345,28.9812469,41.0109933,-563
8357,27.6940227,42.4227596,-562
14345,28.9812469,41.0109933,-562
8357,27.6940227,42.4227596,-561
14345,28.9812469,41.0109933,-561
2367,24.9732113,40.9336168,-560
8357,27.6940227,42.4227596,-560
14345,28.9812469,41.0109933,-560
2367,24.9732113,40.9336168,-559
8357,27.6940227,42.4227596,-559
14345,28.9812469,41.0109933,-559
2367,24.9732113,40.9336168,-558
8357,27.6940227,42.4227596,-558
14345,28.9812469,41.0109933,-558
2367,24.9732113,40.9336168,-557
8357,27.6940227,42.4227596,-557
14345,28.9812469,41.0109933,-557
2367,24.9732113,40.9336168,-556
8357,27.6940227,42.4227596,-556
14345,28.9812469,41.0109933,-556
2367,24.9732113,40.9336168,-555
8357,27.6940227,42.4227596,-555
14345,28.9812469,41.0109933,-555
2367,24.9732113,40.9336168,-554
8357,27.6940227,42.4227596,-554
14345,28.9812469,41.0109933,-554
2367,24.9732113,40.9336168,-553
8357,27.6940227,42.4227596,-553
14345,28.9812469,41.0109933,-553
2367,24.9732113,40.9336168,-552
8357,27.6940227,42.4227596,-552
14345,28.9812469,41.0109933,-552
2367,24.9732113,40.9336168,-551
8357,27.6940227,42.4227596,-551
14345,28.9812469,41.0109933,-551
2367,24.9732113,40.9336168,-550
8357,27.6940227,42.4227596,-550
14345,28.9812469,41.0109933,-550
2367,24.9732113,40.9336168,-549
8357,27.6940227,42.4227596,-549
14345,28.9812469,41.0109933,-549
2367,24.9732113,40.9336168,-548
8357,27.6940227,42.4227596,-548
14345,28.9812469,41.0109933,-548
2367,24.9732113,40.9336168,-547
8357,27.6940227,42.4227596,-547
14345,28.9812469,41.0109933,-547
2367,24.9732113,40.9336168,-546
8357,27.6940227,42.4227596,-546
14345,28.9812469,41.0109933,-546
2367,24.9732113,40.9336168,-545
8357,27.6940227,42.4227596,-545
14345,28.9812469,41.0109933,-545
2367,24.9732113,40.9336168,-544
8357,27.6940227,42.4227596,-544
14345,28.9812469,41.0109933,-544
2367,24.9732113,40.9336168,-543
8357,27.6940227,42.4227596,-543
14345,28.9812469,41.0109933,-543
2367,24.9732113,40.9336168,-542
8357,27.6940227,42.4227596,-542
14345,28.9812469,41.0109933,-542
2367,24.9732113,40.9336168,-541
8357,27.6940227,42.4227596,-541
14345,28.9812469,41.0109933,-541
2367,24.9732113,40.9336168,-540
8357,27.6940227,42.4227596,-540
14345,28.9812469,41.0109933,-540
8357,27.6940227,42.4227596,-539
14345,28.9812469,41.0109933,-539
8357,27.6940227,42.4227596,-538
14345,28.9812469,41.0109933,-538
8357,27.6940227,42.4227596,-537
14345,28.9812469,41.0109933,-537
8357,27.6940227,42.4227596,-536
14345,28.9812469,41.0109933,-536
8357,27.6940227,42.4227596,-535
12320,27.9598618,40.9674559,-535
14345,28.9812469,41.0109933,-535
8357,27.6940227,42.4227596,-534
12320,27.9598618,40.9674559,-534
14345,28.9812469,41.0109933,-534
8357,27.6940227,42.4227596,-533
12320,27.9598618,40.9674559,-533
14345,28.9812469,41.0109933,-533
8357,27.6940227,42.4227596,-532
12320,27.9598618,40.9674559,-532
14345,28.9812469,41.0109933,-532
8357,27.6940227,42.4227596,-531
12320,27.9598618,40.9674559,-531
14345,28.9812469,41.0109933,-531
8357,27.6940227,42.4227596,-530
12320,27.9598618,40.9674559,-530
14345,28.9812469,41.0109933,-530
8357,27.6940227,42.4227596,-529
12320,27.9598618,40.9674559,-529
14345,28.9812469,41.0109933,-529
8357,27.6940227,42.4227596,-528
12320,27.9598618,40.9674559,-528
14345,28.9812469,41.0109933,-528
8357,27.6940227,42.4227596,-527
12320,27.9598618,40.9674559,-527
14345,28.9812469,41.0109933,-527
8357,27.6940227,42.4227596,-526
12320,27.9598618,40.9674559,-526
14345,28.9812469,41.0109933,-526
8357,27.6940227,42.4227596,-525
12320,27.9598618,40.9674559,-525
14345,28.9812469,41.0109933,-525
8357,27.6940227,42.4227596,-524
12320,27.9598618,40.9674559,-524
14345,28.9812469,41.0109933,-524
8357,27.6940227,42.4227596,-523
12320,27.9598618,40.9674559,-523
14345,28.9812469,41.0109933,-523
8357,27.6940227,42.4227596,-522
12320,27.9598618,40.9674559,-522
14345,28.9812469,41.0109933,-522
8357,27.6940227,42.4227596,-521
12320,27.9598618,40.9674559,-521
14345,28.9812469,41.0109933,-521
8357,27.6940227,42.4227596,-520
12320,27.9598618,40.9674559,-520
14345,28.9812469,41.0109933,-520
8357,27.6940227,42.4227596,-519
12320,27.9598618,40.9674559,-519
14345,28.9812469,41.0109933,-519
8357,27.6940227,42.4227596,-518
12320,27.9598618,40.9674559,-518
14345,28.9812469,41.0109933,-518
8357,27.6940227,42.4227596,-517
12320,27.9598618,40.9674559,-517
14345,28.9812469,41.0109933,-517
8357,27.6940227,42.4227596,-516
12320,27.9598618,40.9674559,-516
14345,28.9812469,41.0109933,-516
8357,27.6940227,42.4227596,-515
12320,27.9598618,40.9674559,-515
14345,28.9812469,41.0109933,-515
8357,27.6940227,42.4227596,-514
14345,28.9812469,41.0109933,-514
8357,27.6940227,42.4227596,-513
14345,28.9812469,41.0109933,-513
8357,27.6940227,42.4227596,-512
14345,28.9812469,41.0109933,-512
8357,27.6940227,42.4227596,-511
14345,28.9812469,41.0109933,-511
8357,27.6940227,42.4227596,-510
8360,27.6928425,42.4237575,-510
12321,27.9702043,40.9826843,-510
12322,27.9697108,40.9834294,-510
14345,28.9812469,41.0109933,-510
8357,27.6940227,42.4227596,-509
8360,27.6928425,42.4237575,-509
12321,27.9702043,40.9826843,-509
12322,27.9697108,40.9834294,-509
14345,28.9812469,41.0109933,-509
8357,27.6940227,42.4227596,-508
8360,27.6928425,42.4237575,-508
12321,27.9702043,40.9826843,-508
12322,27.9697108,40.9834294,-508
14345,28.9812469,41.0109933,-508
8357,27.6940227,42.4227596,-507
8360,27.6928425,42.4237575,-507
