InputID,TargetID,Distance
Philippopolis,Serdica,1.52986716781
Philippopolis,Parthicopolis,1.5732734235
Philippopolis,Heraclea Sintica,1.63031977888
Philippopolis,Kabyle,1.78378281165
Philippopolis,Hadrianopolis,1.87265175443
Philippopolis,Ainos,1.94847138715
Philippopolis,Municipium Montanensium,1.9795618619
Philippopolis,Pautalia,2.06923057056
Philippopolis,Sestos,2.52613261035
Philippopolis,Apollonia Pontica,2.96505163154
Philippopolis,Mesambria Pontica,3.01198958083
Philippopolis,Marcianopolis,3.04086190666
Philippopolis,Bizye,3.0706307611
Philippopolis,Odessos,3.34628157335
Philippopolis,Perinthos,3.41499570331
Philippopolis,Dionysopolis,3.6228193636
Philippopolis,Selymbria,3.75287171189
Philippopolis,Byzantion,4.35591811342
Serdica,Municipium Montanensium,0.725508799369
Serdica,Pautalia,0.760706369166
Serdica,Parthicopolis,1.1305902078
Serdica,Nicopolis ad Nestum,1.19867113068
Serdica,Heraclea Sintica,1.23255650253
Serdica,Philippopolis,1.52986716781
Serdica,Seuthopolis,1.98712917659
Serdica,Augusta Traiana,2.31934886177
Serdica,Nicopolis ad Istrum,2.34757493417
Serdica,Abdera,2.40715847875
Serdica,Maroneia,2.83625576494
Serdica,Kabyle,3.16260186856
Serdica,Ainos,3.39460300629
Serdica,Hadrianopolis,3.39659571443
Serdica,Sestos,3.93977719141
Serdica,Marcianopolis,4.29741775985
Serdica,Mesambria Pontica,4.38646026509
Serdica,Apollonia Pontica,4.38694617941
Serdica,Bizye,4.58310161567
Serdica,Odessos,4.62401274025
Serdica,Dionysopolis,4.87250004097
Serdica,Perinthos,4.94463491438
Serdica,Selymbria,5.27732721979
Serdica,Byzantion,5.87904712571
Hadrianopolis,Kabyle,0.890027545659
Hadrianopolis,Ainos,1.06149994454
Hadrianopolis,Augusta Traiana,1.1983275611
Hadrianopolis,Bizye,1.20839808578
Hadrianopolis,Maroneia,1.29988746239
Hadrianopolis,Apollonia Pontica,1.3597335301
Hadrianopolis,Sestos,1.46812296344
Hadrianopolis,Mesambria Pontica,1.53598068645
Hadrianopolis,Perinthos,1.56205590251
Hadrianopolis,Seuthopolis,1.57085087544
Hadrianopolis,Abdera,1.75792143351
Hadrianopolis,Nicopolis ad Istrum,1.81213223955
Hadrianopolis,Marcianopolis,1.86638038469
Hadrianopolis,Philippopolis,1.87265175443
Hadrianopolis,Selymbria,1.8808820109
Hadrianopolis,Odessos,2.05369289033
Hadrianopolis,Dionysopolis,2.34610670115
Hadrianopolis,Byzantion,2.48341491324
Hadrianopolis,Nicopolis ad Nestum,2.76627945064
Hadrianopolis,Parthicopolis,3.27942393353
Hadrianopolis,Heraclea Sintica,3.30325854389
Hadrianopolis,Serdica,3.39659571443
Hadrianopolis,Municipium Montanensium,3.75636206133
Hadrianopolis,Pautalia,3.92525006436
Apollonia Pontica,Mesambria Pontica,0.278532327266
Apollonia Pontica,Marcianopolis,0.825223336372
Apollonia Pontica,Odessos,0.828821204416
Apollonia Pontica,Bizye,0.846537468892
Apollonia Pontica,Dionysopolis,1.08467055513
Apollonia Pontica,Kabyle,1.22679352878
Apollonia Pontica,Hadrianopolis,1.3597335301
Apollonia Pontica,Selymbria,1.44218110319
Apollonia Pontica,Perinthos,1.46929122039
Apollonia Pontica,Byzantion,1.88244286477
Apollonia Pontica,Augusta Traiana,2.07493578254
Apollonia Pontica,Nicopolis ad Istrum,2.23703946374
Apollonia Pontica,Ainos,2.33852410428
Apollonia Pontica,Seuthopolis,2.40102476159
Apollonia Pontica,Sestos,2.56390561232
Apollonia Pontica,Maroneia,2.65842467973
Apollonia Pontica,Philippopolis,2.96505163154
Apollonia Pontica,Abdera,3.10955911066
Apollonia Pontica,Nicopolis ad Nestum,3.98957933098
Apollonia Pontica,Serdica,4.38694617941
Apollonia Pontica,Parthicopolis,4.49771579681
Apollonia Pontica,Heraclea Sintica,4.53652419412
Apollonia Pontica,Municipium Montanensium,4.57723869695
Apollonia Pontica,Pautalia,5.01843857633
Odessos,Dionysopolis,0.295289757796
Odessos,Marcianopolis,0.331431402173
Odessos,Mesambria Pontica,0.561618233843
Odessos,Apollonia Pontica,0.828821204416
Odessos,Kabyle,1.57791140914
