Record ID,Geographic name,Geographic Type,Type of geographical entity,Short summary,Mappable location,Date,Author or Creator >
2144,"Olynthos","Settlement","city",,"p POINT(23.3426114 40.2911675)",,"2"
12359,"Oulokasseinon","Settlement","city","Velocassium, town near Lugdunum",,,"1792"
3566,"Oulpia Neikopolis","Settlement","settlement",,,,"1793"
7628,"Pamfylia","Area","region",,,,"1793"
10416,"Pautalia","Settlement","Town","Nowadays Kjustendil in western Bulgaria","p POINT(22.6925611 42.28658)",,"1792"
7630,"Peisidia","Area","region","Pisidia",,,"1793"
2598,"Pentepolis","Area","group of cities","Community of cities in west Pontos (Dionysopolis, Istru, Tomi, Callatis, Odessus, perhaps also Mesambria and Apollonia )",,,"2"
2119,"Perinthos","Settlement","city",,"p POINT(27.95484 40.969332)",,"2"
2636,"Philippoi","Settlement","city","Philippi","p POINT(24.3386534 41.0251024)",,"2"
2075,"Philippopolis","Settlement","city","Plovdiv","p POINT(24.7452904 42.1354079)",,"2"
14303,"Philokterea","Settlement","place, unknown",,,,"2"
2076,"Pistiros","Settlement","city",,"p POINT(24.0750155 42.2307172)",,"2"
7603,"Pizos","Settlement","emporion",,"p POINT(25.5476546 42.1950308)",,"2"
3427,"Plotinopolis","Settlement","city","opposite Didymoteicho","p POINT(26.4904015 41.3437186)",,"2"
2080,"Pontos","Sea","region and sea",,"p POINT(34.299316 43.413029)",,"2"
6853,"Porolissum","Settlement","city","in Roumania","p POINT(23.0670001 47.1898336)",,"2"
13377,"Raouenna","Settlement","city","Ravenna","p POINT(12.2052097 44.4206014)",,"1793"
2163,"Rhodope","Mountain","mountain range",,"p POINT(24.574167 41.601111)",,"2"
11528,"Roimeletike (strategia)","Area","military district",,,,"1792"
2081,"Rome","Settlement","city",,"p POINT(12.4963655 41.9027835)",,"2"
7989,"Rysike","Area","strategia",,,,"2"
2086,"Samothrake","Settlement","island/city",,"p POINT(25.5917918 40.4476834)",,"2"
8412,"Sapaike","Area","area","area around Abdera","p POINT(24.9514602 40.9814734)",,"2"
16672,"Sardes","Settlement","city","Sardis","p POINT(28.1114445 38.4663784)",,"2"
11535,"Seletike (strategia)","Area","military district",,,,"1792"
7988,"Selletike","Settlement","a town","a town located approximatly in the region of Marcianopolis",,,"1792"
2120,"Selymbria","Settlement","city",,"p POINT(28.247868 41.073678)",,"2"
2078,"Seuthopolis","Settlement","city",,"p POINT(25.3034842 42.6170941)",,"2"
7619,"Skedabria","Settlement","Thracian village","near Pizos",,,"2"
10911,"Skeiame","Settlement","settlement?","Name of a sanctuary in the town, name of which we don't know (Skeiame could be the name of the town, but is wery uncertain)","p POINT(23.2246685 41.6639997)",,"1792"
7623,"Skepte","Settlement","Thracian village","near Pizos",,,"2"
11642,"Skerezis","Settlement","settlement?",,,,"1793"
3439,"Smyrna / Zmyrna","Settlement","city",,"p POINT(27.1219826 38.4122732)",,"2"
2091,"Sparta","Settlement","city",,"p POINT(22.430264 37.074461)",,"2"
10627,"Spinopara","Settlement","village",,"p POINT(22.7822113 42.3239049)",,"1792"
7620,"Stratopara","Settlement","Thracian village","near Pizos",,,"2"
7634,"Strouneilos","Settlement","Thracian village","near Pizos",,,"2"
14075,"Syria","Area","area","Syria",,,"2"
2133,"Teos","Area","city","Sığacık","p POINT(26.777552 38.187557)",,"2"
2332,"Thessalonike","Settlement","city",,"p POINT(22.9446064 40.6393495)",,"2"
11530,"Thoukysidantike (strategia)","Area","military district",,,,"1792"
2167,"Thrake","Area","region","Thrace","p POINT(26.4086816 42.2640806)",,"2"
3347,"Traianoupolis","Settlement","city",,"p POINT(26.0320616 40.8648481)",,"2"
12052,"Troias","Area","area","Troas",,,"1792"
2123,"Tyras","Settlement","city"," Bilhorod-Dnistrovskyi","p POINT(30.3414908 46.1854516)",,"2"
3125,"Vicus Trullensium","Settlement","village",,"p POINT(23.997 43.18792)",,"1793"
10893,"Zebastene","Area","komarchia",,,,"1793"
10892,"Zerklene","Area","komarchia",,,,"1793"
11531,"Zraike (strategia)","Area","military district",,,,"1792"
11194,"Zylouzeny?","Settlement","village",,,,"1793"
