Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
15134,"141","689",,,,
14443,"141","14442",,,,
15414,"141","1134",,,,
15161,"141","9647",,,,
4299,"141","1534",,,,
3919,"141","1606",,,,
4795,"141",,"4794",,,
10320,"142","140",,,,
15231,"142","141",,,,
15744,"142","15743",,,,
8414,"142","247",,,,"from Sapaike"
15739,"142","15738",,,,
15758,"142","1136",,,,
15511,"142","15510",,,,
15252,"4390","1128",,,,
9356,"143|967|9355",,,,,
12630,"12629",,,,,
5890,"5889",,,,,
16237,"16235","16236",,,,
15770,"15768","15769",,,,
7902,"149","2212",,,,
15698,"15696","15697",,,,
4714,"151","944",,,,
3914,"151",,,"820",,
15917,"15915","15916",,,,
15608,"15607","774",,,,
4736,"152","1528",,,,
3909,"153","632",,,,
6705,"154","148",,,,
4718,"155","4717",,,,
15012,"15011","7586",,,,
15740,"160","469",,,,
15008,"160","679",,,,
5743,"160","784",,,,
10302,"10301",,,,,
4817,"165","1308",,,,
16469,"16468",,,,,
15666,"15664","15665",,,,
16031,"16030",,,"849",,
4087,"169","1419",,,,
4101,"170","824",,,,
4119,"170","989",,,,
10248,"172",,,,,
15663,"15662",,,"94",,
15329,"15328","1385",,"12166",,
15158,"175","177",,,,
4102,"175","2516",,,,
4297,"175","1708",,,,
15160,"15159","175",,,,
5825,"176","116",,,,
4973,"176","784",,,,
5513,"176","1739",,,,
15940,"15939","373",,,,
9130,"177","177","4232",,,
15053,"182","14992",,,,
4475,"182",,"2825",,,
14025,"187","469",,,,
14029,"187","1239",,,,
14371,"14369","14370",,,,
4124,"189","2547",,,,
16690,"16689",,,,,
14286,"14285",,,,,
16439,"16438",,,,,
8932,"8931|1299",,,,,
16391,"16390","1192",,,,
16328,"195","2195",,,,
9256,"195","1412",,,,
16293,"195",,,"16292",,
4802,"195",,,"3443",,
16446,"195|16445",,,,,
5874,"196","32",,,,
15104,"196","124",,,,
5487,"196","135",,"3574",,"husband of Koeis, daughter of Dion"
15632,"196","15631",,,,
15428,"196","15427",,,,
5455,"196","857",,"3487",,"husband of Iado, daughter of Hefaistion"
5800,"196","990",,,,
5505,"196","1248",,,,
15430,"196","15429",,,,
5748,"196","1757",,"132",,"husband of Apfe, daughter of Agathenor"
3899,"197","1253",,,,
4731,"198","1663",,,,
4143,"199","768",,,,
4543,"200","4542",,,,
4349,"201","1654",,,,
4412,"203","769",,,,
8904,"8902|8903",,,,,
6933,"209","868",,,,
16064,"209",,,,,
14993,"14992","1232",,,,
5518,"212","129",,"3541","390","husband of Anni Neikomedous"
9057,"212","2173",,,,
14083,"212","850","14081",,,
13913,"212","1239",,,,"teacher in Sestos"
6816,"212",,,,,
9257,"213","1412",,,,
16609,"213",,"6448",,,
13957,"3935",,,,,
6972,"214",,,,,
4020,"4019",,,,,
9136,"9135",,,,,
4749,"215",,,,,
16332,"13763","274",,,,
15615,"15614","1457",,,,
6805,"6804",,,,,
15824,"217","15823",,,,
4126,"4125","1151",,,,
15695,"15693","15694",,,,
16076,"16075","449","16074",,,
