Record ID,Modern location,Ancient site,Ancient site - region,Temporal horizon,Author or Creator >
13606,"Helitse-Hilitsa (Ihtiman)",,"Serdica",,1793
14055,"Hexamili",,"Lysimacheia",,2
10890,"Hisarya",,"Philippopolis",,1793
11958,"Hotnitsa",,"Nikopolis ad Istrum",,1793
6023,"Ignatievo",,"Odessos",,1792
3794,"Imeros","Imeros","Maroneia",,
3786,"Isalon","Stryme","Stryme",,
7122,"Isperih",,"Nikopolis ad Istrum - Marcianopolis",,1793
9347,"Isperihovo",,"Philippopolis",,2
14192,"Istanbul","Byzantion","Byzantion",,2
8047,"Istria","Histria","Histria",,1792
9318,"Ivanyane - Bankya",,"Serdica",,2
8512,"Ivaylovgrad",,"Hadrianopolis",,2
7146,"Izbul",,"Nikopolis ad Istrum - Marcianopolis",,1793
13353,"Izgrev",,"Marcianopolis",,1793
3769,"Izmir","Teos","Smyrna",,
10015,"Izvor",,"Philippopolis",,1793
8015,"Izvorishte",,"Anchilaos",,1792
7237,"Izvorovo",,"Augusta Traiana",,2
11355,"Janovo",,"Vallis Strimonis medii",,1792
8341,"Kabile","Kabyle","Augusta Traiana",,2
9712,"Kadievo","Tugugerum","Philippopolis",,1793
14161,"Kadiköy",,"Selymbria",,1792
10666,"Kadin Most",,"Pautalia",,1792
3838,"Kaliakra","Tirizis","Bizone",,
11349,"Kalimanci",,"Vallis Strimonis medii",,1792
7402,"Kalimantsi",,"Marcianopolis",,1793
14554,"Kallikrateia?","Kallikrateia?","Salymbria",,1792
7087,"Kalnovo",,"Nikopolis ad Istrum - Marcianopolis",,1793
9454,"Kalotina","Ballanstra","Serdica",,2
8326,"Kaloyanovo",,"Augusta Traiana",,2
3777,"Kalyva",,"Topeiros",,
8721,"Kamen Vrah",,"Anchialos",,2
9284,"Kamenets",,"Anchialos",,2
3868,"Kamenets",,"Nikopolis ad Istrum",,
10729,"Kamenik",,"Pautalia",,1792
8012,"Kameno",,"Anchilaos",,1792
7580,"Kamenovo",,"Augusta Traina",,2
8508,"Kamilski Dol - Valche Pole",,"Hadrianopolis",,2
14553,"Kapakli",,"Salymbria",,1792
8505,"Kapitan Andreevo",,"Hadrianopolis",,2
8898,"Kapitan Dimitrevo",,"Philippopolis",,2
14288,"Karaburun",,"Byzantion",,2
6833,"Karanovo",,"Augusta Traiana",,2
3855,"Karash",,,,
8718,"Karavelovo",,"Anchialos",,2
7032,"Kardam",,"Nikopolis ad Istrum - Marcianopolis",,1793
11358,"Karlanovo",,"Vallis Strimonis medii",,1792
10987,"Karlovo",,"Philippopolis",,1793
8541,"Karnobat",,"Anchialos",,2
3781,"Kasaktsi Dere","Stryme","Stryme",,
8136,"Kasnakovo",,"Augusta Traiana",,2
11352,"Katunci",,"Vallis Strimonis medii",,1792
3837,"Kavarna",,"Bizone",,
3836,"Kavarna","Bizone","Bizone",,
8298,"Kazanlak",,"Augusta Traiana",,2
5986,"Kichevo",,"Odessos",,1792|1793
13975,"Kilia","Koila","Koila",,2
7280,"Kiril Metodievo",,"Augusta Traiana",,2
3823,"Kirki - Sikorrachi",,,,
11836,"Kiten",,"Apollonia",,1793
8142,"Klokotnitsa",,"Augusta Traiana",,2
8525,"Kobilino",,"Hadrianopolis",,2
10776,"Kočerinovo",,"Pautalia",,1792
3828,"Komara",,"Adrianoupolis",,
10027,"Komatevo",,"Philippopolis",,1793
3792,"Komotini","Maroneia","Maroneia",,
3832,"Komotini?",,,,
10625,"Konjavo","Spinopara","Pautalia",,1792
10566,"Kopilovtsi","Caristorum","Pautalia",,1792
3827,"Kornofolea",,"Plotinopolis",,
7578,"Korten",,"Augusta Traiana",,2
3790,"Kos","Kos","Kos",,
6553,"Kosharica",,"Mesambria",,
3775,"Kosmiti","Topeiros","Topeiros",,
13426,"Kostandovo",,"Philippopolis",,1793
7128,"Kostena reka",,"Nikopolis ad Istrum - Marcianopolis",,1793
9396,"Kostinbrod","Scretisca","Serdica",,2
11350,"Kovačevo",,"Vallis Strimonis medii",,1792
6692,"Kovach",,"Augusta Traiana",,2
7019,"Kovachevets",,"Nikopolis ad Istrum - Marcianopolis",,1793
11678,"Kovachevitsa","Nicopolis ad Nestum","Nicopolis ad Nestum",,2
14556,"Köyundere",,"Salymbria",,1792
10274,"Kozarsko",,"Philippopolis",,2
6913,"Kozlovets",,"Novae",,1793
13203,"Kralevo",,"Nikopolis ad Istrum - Marcianopolis",,1793
15533,"Kran","Apollo Teradenos sanctuary","Augusta Traiana","|VER=1|TYP=p|TPQ=0150|TAQ=0299|DET=0|CLD=Gregorian|SPF=0|EPF=0",2
8243,"Kran","Apollo Zerdenos sanctuary","Augusta Traiana","|VER=1|TYP=p|TPQ=0150|TAQ=0230|DET=0|CLD=Gregorian|SPF=0|EPF=0",2
3845,"Kranevo","Ekrene","Dionysopolis",,
7539,"Krasen",,"Marcianopolis",,1793
13599,"Krasna Polyana","Serdica","Serdica",,1793
9248,"Krayintsi",,"Pautalia",,2
8146,"Krepost",,"Augusta Traiana",,2
13785,"Kresna",,"Neine",,1793
3865,"Kreta",,"Nikopolis ad Istrum",,
9749,"Krichim",,"Philippopolis",,1793
13535,"Krumovgrad",,"Augusta Traiana",,1793
13922,"Küçük-Anafartalar","Alopekonnesos","Alopekonnesos",,2
14233,"Küçükçekmece","Rhegion","Byzantion",,2
14226,"Kücükseimen",,"Salymbria",,1792
9358,"Kuklen",,"Philippopolis",,2
14557,"Kumburgaz","Oikonomeion","Salymbria",,1792
3858,"Kunino","Vicus Trullensium","Vicus Trullensium",,
16270,"Kupinovo, Veliko Turnovo",,,,2
9215,"Kurilo",,"Serdica",,2
14196,"Kyaneai Island","Kyaneai Island","Byzantion",,2
9659,"Kyustendil","Pautalia","Pautalia",,1792
11326,"Laskarevo",,"Vallis Strimonis medii",,1792
11360,"Lehovo",,"Vallis Strimonis medii",,1792
16195,"Leshnikova Mogila, Kazanlak",,"Augusta Traiana",,2
6613,"Lesicheri",,"Nikopolis ad Istrum",,1793
9290,"Lesnovo","Mansio Burgaratsa","Serdica",,2
10690,"Lilyach",,"Pautalia",,1792
3850,"Lilyache",,,,
13134,"Lilyak",,"Nikopolis ad Istrum - Marcianopolis",,1793
13114,"Lipnik",,"Abritus",,1793
3856,"Lipnitsa",,,,
3809,"Lofarion",,,,
3816,"Loutra","Traianoupolis","Traianoupolis",,
3867,"Lovech","Melta",,,
7596,"Lovets",,"Augusta Traiana",,2
8452,"Lozen - Dijnikli",,"Hadrianopolis",,2
8535,"Lozenets",,"Anchialos",,2
15569,"Lozenets, Yambol",,,,2
10241,"Lyahovo",,"Philippopolis",,2
5069,"Lyaskovets","Nikopolis ad Istrum","Nikopolis ad Istrum",,1793
7426,"Lyuben Karavelov",,"Marcianopolis",,1793
6998,"Lyublen",,"Nikopolis ad Istrum - Marcianopolis",,
11865,"Lyutibrod",,"Vicus Trullensium",,1793
7125,"Madara",,"Nikopolis ad Istrum - Marcianopolis",,1793
3822,"Makri",,,,
15587,"Malenovo",,,,2
10727,"Mali Varbovnik",,"Pautalia",,1792
7308,"Malka Vereya",,"Augusta Traiana",,2
9562,"Malko Belyovo",,"Philippopolis",,2
8309,"Malko Chochoven",,"Augusta Traiana",,2
11554,"Malko Tarnovo",,"Anchialos",,2
10284,"Malo Konare",,"Philippopolis",,2
8392,"Malomir",,"Augusta Traiana",,2
8421,"Malomirovo",,"Hadrianopolis",,2
7369,"Manastir",,"Marcianopolis",,1793
9263,"Marcianopolis","Marcianopolis","Marcianopolis",,2
8109,"Maritsa",,"Augusta Traiana",,2
7378,"Markovo",,"Marcianopolis",,1793
9801,"Markovo",,"Philippopolis",,1793
11896,"Marmara Ereğlisi","Perinthos (Herakleia)","Perinthos (Herakleia)",,1792
3789,"Maroneia","Maroneia","Maroneia",,
9409,"Maslovo",,"Serdica",,2
15590,"Meden Kladenets",,,,2
7047,"Medovina",,"Nikopolis ad Istrum - Marcianopolis",,1793
13506,"Medovo",,"Augusta Traiana",,1793
11357,"Melnik",,"Vallis Strimonis medii",,1792
8078,"Merichleri",,"Augusta Traiana",,2
3815,"Mesimvria","Zone","Zone",,
3801,"Mesochori",,,,
7078,"Metodievo",,"Nikopolis ad Istrum - Marcianopolis",,1793
3852,"Mezdra","Kaleto",,,
14167,"Miletos",,"Byzantion",,2
6751,"Mindya",,"Nikopolis ad Istrum",,1793
13850,"Mitino",,"Neine",,1793
16281,"Mitinovo","Heraclea Sintica","Heraclea Sintica",,2
3785,"Mitriko",,"Chrsonesos Molybotes",,
3779,"Mitriko","Stryme","Stryme",,
3766,"Modern location","Ancient location site","Ancient location region",,
9261,"Mogila",,"Marcianopolis",,2
7277,"Mogilovo",,"Augusta Traiana",,2
3784,"Molyboti",,"Chersonesos Molybotes",,
3788,"Molyboti","Stryme","Stryme",,
3780,"Molyvoti","Stryme","Stryme",,
7460,"Momino",,"Marcianopolis",,1793
3847,"Montana","Municipium Montanensium","Municipium Montanensium",,
9385,"Mramor",,"Serdica",,2
9253,"Muletarovo",,,,2
11361,"Muletarovo - Rupite",,"Vallis Strimonis medii",,1792
16590,"Musachevo",,"Augusta Traiana",,2
3830,"Museum Komotini",,,,
3831,"Museum Xanthi",,,,
3778,"Myrtoussa - Aeriko",,"Topeiros",,
6004,"Nadežda (?)",,"Odessos",,1792
8447,"Nadezhden",,"Hadrianopolis",,2
16183,"Naip, Tekirdag, Mt. Ganos",,,,2
13532,"Nanovitsa",,"Augusta Traiana",,1793
3819,"Nea Chili",,,,
10672,"Nedelkova Grashtitsa",,"Pautalia",,1792
9207,"Negovan",,"Serdica",,2
6172,"Nesebar","Mesambria","Mesambria",,1792
10413,"Nevestino",,"Pautalia",,1792
10564,"Nikolichevtsi",,"Pautalia",,1792
3870,"Nikyup","Nikopolis ad Istrum","Nikopolis ad Istrum",,
9233,"Novi Han",,"Serdica",,2
11367,"Novo Leski","Nicopolis ad Nestum","Nicopolis ad Nestum",,1792
9738,"Novo Selo",,"Philippopolis",,1793
10023,"Novosel",,"Philippopolis",,1793
7585,"Novoselets",,"Augusta Traiana",,2
16010,"Nymphaia (Greece)",,,,2
6634,"Obedinenie",,"Nikopolis ad Istrum",,1793
6125,"Obzor","Naulochos - Templum Iovis","Naulochos - Templum Iovis",,
14173,"Olbia",,"Byzantion",,2
14179,"Olympia",,"Byzantion",,2
7071,"Omurtag",,"Nikopolis ad Istrum - Marcianopolis",,1793
8375,"Opitsvet",,"Serdica",,2
9726,"Orizare",,"Philippopolis",,1793
11040,"Orizovo",,"Philippopolis",,1793
6951,"Osenets",,"Abritus",,1793
8301,"Ovosthnik",,"Augusta Traiana",,2
13145,"Padarino",,"Nikopolis ad Istrum - Marcianopolis",,1793
13331,"Padina",,"Marcianopolis",,1793
3802,"Paisoulai","Maximianopolis","Maximianopolis",,
3818,"Palagia",,,,
7025,"Palamartsa",,"Nikopolis ad Istrum - Marcianopolis",,1793
13143,"Palatitsa",,"Nikopolis ad Istrum - Marcianopolis",,1793
9503,"Pamidovo",,"Philippopolis",,2
9490,"Panagyurishte",,"Philippopolis",,2
9307,"Pancharevo",,"Serdica",,2
11797,"Panitsovo",,"Mesambria",,1793
3774,"Paradisos","Topeiros","Topeiros",,
3804,"Paradymi, Baltos",,,,
11191,"Partizanin",,"Philippopolis",,1793
6625,"Paskalevets",,"Nikopolis ad Istrum",,1793
7589,"Pastren",,"Augusta Traiana",,2
7253,"Pastrovo",,"Augusta Traiana",,2
9788,"Pastusha",,"Philippopolis",,1793
10227,"Patalenitsa",,"Philippopolis",,2
6606,"Pavlikeni",,"Nikopolis ad Istrum",,1793
9273,"Pazardzhik",,"Philippopolis",,2
10526,"Pchelintsi",,"Pautalia",,1792
6747,"Pchelishte",,"Nikopolis ad Istrum",,1793
8521,"Pelevun",,"Hadrianopolis",,2
10513,"Pernik",,"Pautalia",,1792
9354,"Perushtitsa",,"Philippopolis",,2
10529,"Peshtera",,"Pautalia",,1792
10272,"Peshtera",,"Philippopolis",,2
11590,"Peshtersko",,"Anchialos",,2
11363,"Petrič",,"Vallis Strimonis medii",,1792
6676,"Petrovo and Kaloyanovets",,"Augusta Traiana",,2
10989,"Pevtsite",,"Philippopolis",,1793
15872,"Piperitsa, Blagoevgrad",,"Vallis Strimonis medii",,2|1792
14160,"Pivados","Epibatais","Selymbria",,1792
7602,"Pizos","Pizos","Augusta Traiana",,2
3810,"Plagia",,,,
7074,"Plastina",,"Nikopolis ad Istrum - Marcianopolis",,1793
3829,"Plati",,"Adrianoupolis",,
5912,"Pliska",,"Nikopolis ad Istrum - Marcianopolis",,1792
10980,"Ploski",,"Vallis Strimonis medii",,1792
7544,"Plovdiv","Philippopolis","Philippopolis",,1793
9213,"Podgumer",,"Serdica",,2
5043,"Polikraishte","Nikopolis ad Istrum","Nikopolis ad Istrum",,1793
3805,"Polyanthos",,,,
6651,"Pomorie","Anchilaos","Anchilaos",,1792
9492,"Popintsi",,"Philippopolis",,2
10841,"Popovitsa",,"Philippopolis",,1793
7037,"Popovo",,"Nikopolis ad Istrum - Marcianopolis",,1793
6571,"Poroy","Karsaleon","Mesambria",,1792
3771,"Porto Lagos",,"Abdera",,
7534,"Poruchik Kardzhievo",,"Marcianopolis",,1793
9199,"Potop - Jordankino",,"Serdica",,2
3826,"Prangi",,"Plotinopolis",,
8702,"Pravdino",,"Anchialos",,2
7083,"Preslav",,"Nikopolis ad Istrum - Marcianopolis",,1793
13527,"Prileptsi",,"Augusta Traiana",,1793
3796,"Proskynetai",,"Maroneia",,
7340,"Provadia",,"Marcianopolis",,1793
10518,"Provalenica",,"Pautalia",,1792
11016,"Radomir",,"Philippopolis",,1793
9556,"Rakitovo",,"Philippopolis",,2
10676,"Rashka Grashtitsa",,"Pautalia",,1792
10485,"Rasnik",,"Pautalia",,1792
9293,"Ravno Pole",,"Serdica",,2
9487,"Rayovo",,"Serdica",,2
8441,"Razdel",,"Hadrianopolis",,2
6937,"Razgrad","Abritus","Abritus",,1793
10557,"Razhdavitsa",,"Pautalia",,1792
3871,"Resen","Nikopolis ad Istrum","Nikopolis ad Istrum",,
10780,"Rila","Sportela","Pautalia",,1792
11593,"Robovo",,"Anchialos",,2
3843,"Rogachevo",,"Dionysopolis",,
13138,"Rositsa",,"Nikopolis ad Istrum - Marcianopolis",,1793
10461,"Rosoman",,"Pautalia",,1792
7444,"Royak",,"Marcianopolis",,1793
7563,"Rumanya",,"Augusta Traiana",,2
16289,"Rupite","Heraclea Sintica","Heraclea Sintica",,2
13498,"Rupkite",,"Augusta Traiana",,1793
13241,"Ruse","Sexaginta Prista","Nikopolis ad Istrum - Marcianopolis",,1793
7015,"Sadina",,"Nikopolis ad Istrum - Marcianopolis",,1793
7247,"Saedinenie",,"Augusta Traiana",,2
3791,"Samothrace","Samothrace","Samothrace",,
6701,"Samovodene",,"Nikopolis ad Istrum",,1793
7599,"Samuilovo",,"Augusta Traiana",,2
10982,"Sandanski","Parthikopolis","Vallis Strimonis medii",,1792|2
10678,"Sapareva Banya","Germania","Pautalia",,1792
3820,"Saragia","Doriskos","Doriskos",,
9537,"Saraya",,"Philippopolis",,2
13060,"Sariköy",,"Perinthos-Herakleia",,1792
6786,"Sarnevo",,"Augusta Traiana",,2
16178,"Sboryanovo, Isperih",,,,2
14163,"Seleukeia in Kilikia",,"Byzantion",,2
9565,"Semchinovo",,"Philippopolis",,2
3840,"Septemvrijtsi",,"Bizone",,
11853,"Serdar",,"Municipium Montanensium",,1793
8901,"Serdica","Serdica","Serdica",,2
8178,"Seuthopolis","Seuthopolis","Augusta Traiana","|VER=1|TYP=p|TPQ=-0320|TAQ=-0250|DET=0|CLD=Gregorian|SPF=0|EPF=0",2
7051,"Seyachi",,"Nikopolis ad Istrum - Marcianopolis",,1793
3834,"Shabla",,"Caron Limen",,
10706,"Shatrovo, Dolistovo, Golemo Selo, Balanovo",,"Pautalia",,1792
8239,"Shipka",,"Augusta Traiana",,2
11021,"Shishmantsi",,"Philippopolis",,1793
7404,"Shtipsko",,"Marcianopolis",,1793
7487,"Silistra","Durostorum","Durostorum",,1793
14139,"Silivri","Salymbria","Salymbria",,1792
15583,"Simeonovo - Asenovo",,,,2
16015,"Sinemorets",,,,2
10294,"Sinitovo","Bessapara","Philippopolis",,2
3854,"Sinyo Bardo",,,,
14558,"Sirdekeui","Deliones","Salymbria",,1792
8025,"Skef",,"Anchilaos",,1792
10748,"Skrino",,"Pautalia",,1792
10562,"Skrinyano",,"Pautalia",,1792
13433,"Skutare",,"Philippopolis",,1793
9315,"Slatina",,"Serdica",,2
13123,"Slavyanovo",,"Nikopolis ad Istrum - Marcianopolis",,1793
8311,"Sliven","Emporium Thuidai","Augusta Traiana",,2
9422,"Slivnitsa",,"Serdica",,2
10663,"Slokoshtitsa",,"Pautalia",,1792
16511,"Smyadovo (mound)",,,,2
9482,"Sofia - Gorna Banya",,"Serdica",,2
9477,"Sofia - Krasno Selo",,"Serdica",,2
3806,"Sostis",,,,
8044,"Sozopol","Apollonia","Apollonia",,1792
7235,"Spasovo",,"Augusta Traiana",,2
7242,"Sredno Gradishte",,"Augusta Traiana",,2
8131,"Stalevo",,"Augusta Traiana",,2
6844,"Stamovo (Asparuhovo)",,"Augusta Traiana",,2
6671,"Stara Zagora","Augusta Traiana","Augusta Traiana",,2
7372,"Staroselets",,"Marcianopolis",,1793
7361,"Starozagorski bani",,"Augusta Traiana",,2
10252,"Starya Izvor",,"Philippopolis",,2
13237,"Stefan Karadzha",,"Nikopolis ad Istrum - Marcianopolis",,1793
3864,"Storgosia",,,,
10757,"Stradalovo, Smolichino",,"Pautalia",,1792
7972,"Stransko",,"Augusta Traiana",,2
13129,"Strazha",,"Nikopolis ad Istrum - Marcianopolis",,1793
10992,"Streltsi",,"Philippopolis",,1793
10856,"Stroevo",,"Philippopolis",,1793
15586,"Stroyno",,,,2
6586,"Suhindol",,"Nikopolis ad Istrum",,1793
13059,"Sultanköy",,"Perinthos-Herakleia",,1792
7387,"Suvorovo",,"Marcianopolis",,1793
9803,"Sveti Spas",,"Philippopolis",,1793
6548,"Sveti Vlas",,"Mesambria",,1792
6889,"Svishtov",,"Novae",,1793
6983,"Tabachka - Cherven",,"Nikopolis ad Istrum - Marcianopolis",,1793
7068,"Targovishte",,"Nikopolis ad Istrum - Marcianopolis",,1793
10851,"Tatarevo",,"Philippopolis",,1793
10655,"Tavalichevo",,"Pautalia",,1792
8174,"Tazha",,"Augusta Traiana",,2
16545,"Tekirdağ","Bisanthe","Bisanthe",,2
14271,"Terkoz","Delkos","Byzantion",,2
11861,"Tishevitsa",,"Vicus Trullensium",,1793
3862,"Todorichene",,,,
13111,"Topchii",,"Abritus",,1793
11362,"Topolnica",,"Vallis Strimonis medii",,1792
10828,"Topolovo",,"Philippopolis",,1793
3770,"Toxotes",,"Topeiros",,
8329,"Trapoklovo",,"Augusta Traiana",,2
6959,"Trastika",,"Abritus",,1793
7457,"Trastikovo",,"Marcianopolis",,1793
9218,"Trayanovi vrata","Soneium","Serdica",,2
7171,"Tri mogili",,"Augusta Traiana",,2
8114,"Troyan",,"Augusta Traiana",,2
10860,"Trud",,"Philippopolis",,1793
10290,"Tsalapitsa",,"Philippopolis",,2
6488,"Tsarevets (Veliko Tarnovo)",,"Nikopolis ad Istrum",,1793
3853,"Tsarevets - Dolna Beshovitsa",,,,
3844,"Tsarichino","Dionysopolis","Dionysopolis",,
9467,"Tuden",,"Serdica",,2
8037,"Tvarditsa",,"Anchilaos",,1792
3833,"Tvarditsa",,"Caron Limen",,
8850,"Uncertain (Bulgaria)",,"Uncertain (Thrace)",,2
13061,"Uncertain (Turkey)",,"Uncertain (Thrace)",,1792
