Record ID,Modern location,Ancient site,Ancient site - region,Temporal horizon,Author or Creator >
8220,"Viden","Thracian rider sanctuary","Augusta Traiana","|VER=1|TYP=p|TPQ=0200|TAQ=0299|DET=0|CLD=Gregorian|SPF=0|EPF=0",2
7273,"Vinarovo",,"Augusta Traiana",,2
5988,"Vinitsa",,"Odessos",,1792|1793
6007,"Vladislavovo",,"Odessos",,1792
8444,"Voden",,"Hadrianopolis",,2
6493,"Vodoley",,"Nikopolis ad Istrum",,1793
9380,"Voluyak",,"Serdica",,2
8716,"Voynika",,"Anchialos",,2
9377,"Vrabnitsa",,"Serdica",,2
11354,"Vranja",,"Vallis Strimonis medii",,1792
3851,"Vratsa",,,,
3814,"Vrysi Mousa, Mesemvria","Zone","Zone",,
9267,"Vtora Kamenitsa",,"Philippopolis",,2
10734,"Vukovo",,"Pautalia",,1792
3773,"Xanthi",,"Abdera",,
3776,"Xanthi","Xantheia","Topeiros",,
14581,"Xastron",,"Salymbria",,1792
3787,"Xylagane","Stryme","Stryme",,
3795,"Xylagani",,"Maroneia",,
9796,"Yagodovo",,"Philippopolis",,1793
13878,"Yalova","Sestos","Sestos",,2
8371,"Yambol","Diospolis - Diampolis","Augusta Traiana",,2
7114,"Yankovo",,"Nikopolis ad Istrum - Marcianopolis",,1793
11954,"Yavorovo",,"Carasura",,2
12986,"Yenciftlik",,"Perinthos-Herakleia","|VER=1|TYP=p|TPQ=0001|TAQ=0600|DET=0|CLD=Gregorian|SPF=0|EPF=0",1792
14717,"Yesilköy",,"Byzantion",,1792
9704,"Yoakim Gruevo","Tugugerum","Philippopolis",,1793
9533,"Yunatsite",,"Philippopolis",,2
11552,"Zabernovo",,"Anchialos",,2
8304,"Zapalnya",,"Augusta Traiana",,2
15927,"Zeleni Dol, Blagoevgrad",,,,2
10446,"Zelenigrad",,"Pautalia",,1792
10674,"Zgurovo",,"Pautalia",,1792
7452,"Zhitnitsa",,"Marcianopolis",,1793
9351,"Zlati Trap",,"Philippopolis",,2
9720,"Zlati trap","Tugugerum","Philippopolis",,1793
10817,"Zlatovrah",,"Philippopolis",,1793
3813,"Zone","Zone","Zone",,
3812,"Zoni","Drys","Drys, Zone",,
8705,"Zornitsa",,"Anchialos",,2
8155,"Zornitsa",,"Augusta Traiana",,2
9540,"Zvanichevo",,"Philippopolis",,2
11546,"Zvezdets",,"Anchialos",,2
