Heurist ID|Administrative keywords|Formulaic keywords|Honorific keywords|Religious keywords|Epithet|Collective group names|Geographic names|Person|
2399 | | | | | | | | Nikanor, child of Asklepiodoros, partner of, grandchild of, Metrodora, child of, partner of Asklepiodoros, grandchild of, | 
2400 | | | | | | Kyrenaios, | | Karnis, child of Prax[iadas], partner of, Kyrenaios, grandchild of, | 
2402 | | Chaire, | | | | | | Unknown, child of, partner of [D]emokades, grandchild of, | 
2403 | | Chaire, | | | | | | Metrodoros, child of Aristokles, partner of, grandchild of, | 
2404 | | Chaire, | | | | | | Nikias, child of Melon, partner of, grandchild of, | 
2405 | | Chaire, | | | | | | Beisoulas, child of Artemidoros, partner of, grandchild of, | 
2406 | | Chaire, | | heros, | | | | | 
2408 | | Chaire, | | | | | | | 
2409 | Bouleutes, Tamias, Polis, | Mnema,Mneme, Chaire, Parodita,Parodeita, | | | | Abderites, | | Aga[th]emeris, child of, partner of, grandchild of, | 
2410 | Patris, Tamias, Polis, | | | | | Abderites, | | Kassia, Asklepiodote, child of, partner of, grandchild of, Markos, Oulpios, Autolykos, child of, partner of, grandchild of, | 
2413 | | | | | | | | Aurelios, Gais, Gly[?], child of, partner of, grandchild of, | 
2414 | | | | | | | | Koros, child of Ne[?], partner of, grandchild of, | 
2415 | | Charin, Mneias, | | | | | | Kaisonios, Sokrates, child of, partner of, grandchild of, Aurelia, Alexandra, child of, partner of, grandchild of, Loukilla, child of, partner of, grandchild of, | 
2417 | | | | | | | | Lucius, Manneius, Pollio, child of Lucius, partner of, grandchild of, | 
2422 | | | | | | | | | 
2423 | | | | | | | | | 
2424 | | | | | | | | | 
2425 | | | | | | | | | 
2426 | Polis, Horos, | | Pronoia, | theos, Zeus, | Ephorios, | Abderites, | Mestos (form of Nestos), | Hadrianos, child of, partner of, grandchild of, | 
2430 | Polis, Horos, | | | | | Abderites, | | Hadrianos, child of, partner of, grandchild of, Agrippa, child of, partner of, grandchild of, | 
2442 | | | | | | | | Parmenon, child of Antibios, partner of, grandchild of, | 
2443 | | Chaire, | | | | | | Unknown, child of Poseidonios, partner of, grandchild of, | 
2444 | | Mnemeion, Charin, Mneias, | | | | | | Gaia, Maronis, child of, partner of Afrodeisios, grandchild of, Afrodeisios, child of, partner of, grandchild of, | 
2448 | Demos, Basileus, | | Euergetes, | | | Thrakes, | | Roimetalkes (Roimetalkas), child of Kotys, partner of, grandchild of, | 
