Heurist ID,Geolocation,Start Year,End Year
2874,POINT(25.5130863 40.8809437),1,199
2875,POINT(25.513773 40.8793863),-27,284
2876,POINT(25.5110264 40.8764659),-299,-100
2877,POINT(25.5085373 40.8800352),1,99
2878,POINT(25.5104256 40.8780235),-99,99
2880,POINT(25.5087948 40.8794512),1,199
2881,POINT(25.5128288 40.8773096),-299,-100
2883,POINT(25.5099964 40.8729613),1,99
2884,POINT(25.5111122 40.8755573),100,199
2885,POINT(25.512743 40.8763361),200,299
2886,POINT(25.5129147 40.8775692),100,299
2887,POINT(25.5101681 40.8734805),100,199
2888,POINT(25.5088806 40.8745189),200,299
2891,POINT(25.5093098 40.8797108),200,330
2893,POINT(25.5114555 40.8791916),100,199
2896,POINT(25.5107689 40.8775692),1,199
2897,POINT(25.511713 40.8773096),200,299
2898,POINT(25.511198 40.8763361),200,299
2899,POINT(25.511713 40.8785426),1,99
2900,POINT(25.512228 40.8780883),200,299
2901,POINT(25.5113697 40.8786075),100,199
2902,POINT(25.512743 40.8785426),200,399
2903,POINT(25.5112839 40.8746487),200,299
2904,POINT(25.5120564 40.8746487),100,299
2905,POINT(25.5140305 40.8796459),100,199
2906,POINT(25.513258 40.8788671),200,299
2907,POINT(25.5128288 40.8791916),200,299
2908,POINT(25.5123138 40.8776341),284,476
2909,POINT(25.512228 40.8766606),200,299
2910,POINT(25.5115414 40.8776341),200,299
2911,POINT(25.5106831 40.8791267),200,299
2912,POINT(27.9021835 43.2045502),-199,-1
2915,POINT(27.9179308 43.1982701),-300,-100
2916,POINT(27.9165173 43.1974176),-44,3
2921,POINT(27.9028702 43.2049881),215,215
2936,POINT(27.9176545 43.2003114),221,221
2937,POINT(25.5099964 40.8762712),-199,-1
2938,POINT(25.5125713 40.8802299),-99,-1
2939,POINT(25.5097389 40.8738699),-338,-30
2940,POINT(25.5104256 40.8742593),1,99
2941,POINT(25.5115414 40.8762063),1,99
2942,POINT(25.5105972 40.8758169),-27,284
2943,POINT(25.5179787 40.9049502),1,99
2944,POINT(25.5106831 40.8738699),-99,-1
2945,POINT(25.5128288 40.8800352),1,99
2946,POINT(25.5123138 40.8801001),1,99
2947,POINT(25.511198 40.8777639),1,99
2948,POINT(25.513258 40.8762712),1,199
2949,POINT(25.5106831 40.8754924),300,499
2950,POINT(25.5068207 40.8803597),300,499
2951,POINT(25.5111122 40.8742593),300,499
2952,POINT(25.5166054 40.9048853),300,499
2954,POINT(25.5113697 40.8780883),400,599
2955,POINT(25.5108547 40.8747785),300,499
2956,POINT(25.5121422 40.8771798),400,599
2957,POINT(25.5107689 40.8776341),300,499
2966,POINT(27.9038143 43.2048004),238,238
2968,POINT(27.903471 43.2046753),117,138
2969,POINT(27.9032993 43.2046753),100,212
2972,POINT(27.902441 43.2049881),100,212
2978,POINT(27.9039001 43.2049256),,
2980,POINT(27.9155302 43.2048474),,
2981,POINT(27.9028702 43.204863),,
2982,POINT(27.9116892 43.1997248),,
2983,POINT(27.9020119 43.204863),,
2984,POINT(27.903471 43.2049256),,
2985,POINT(27.902441 43.204863),,
2986,POINT(27.9020119 43.2051133),14,37
2988,POINT(27.9026985 43.2053009),79,81
2989,POINT(27.9026127 43.2052384),157,157
2993,POINT(27.9022694 43.2052384),157,157
2994,POINT(27.9020119 43.2050507),157,157
2995,POINT(27.9181266 43.2001862),193,211
2996,POINT(27.8964329 43.1949147),193,217
2999,POINT(27.9180515 43.2002645),,
3003,POINT(27.9026127 43.2049881),180,220
3004,POINT(27.9182339 43.2002645),,
3006,POINT(27.9027843 43.2056138),1,200
3011,POINT(23.2256126 43.408477),,
3016,POINT(23.22561 43.40848),,
3018,POINT(23.1048102 43.3578268),,
3020,POINT(25.5119705 40.8909367),400,499
3022,POINT(25.5111122 40.8727666),400,499
3024,POINT(25.511198 40.8728315),400,499
3027,POINT(25.5106831 40.873156),300,499
3029,POINT(25.5106831 40.8740646),300,499
3030,POINT(25.5116678 40.8756345),400,599
3031,POINT(25.5106831 40.8739348),300,499
3032,POINT(25.5098248 40.8739997),300,499
3033,POINT(25.5110264 40.8750381),300,499
3034,POINT(25.5105972 40.875752),400,499
3035,POINT(25.5095673 40.8736103),300,499
3036,POINT(25.5109406 40.8758818),400,599
3037,POINT(25.5094814 40.8738699),-338,-200
3038,POINT(25.5086231 40.8793214),-299,-100
3039,POINT(25.5107689 40.8758169),-338,-30
3040,POINT(25.5105114 40.8742593),-199,-100
3042,POINT(25.5172062 40.904042),-338,-30
3043,POINT(25.5103397 40.8773745),-338,-30
3044,POINT(25.5118847 40.8760765),-99,99
3045,POINT(25.5109406 40.8764659),-99,99
3046,POINT(25.5170345 40.9042366),80,120
3047,POINT(23.1069741 43.3304824),,
3048,POINT(23.5222845 43.3217903),,
3049,POINT(23.5528803 43.2102375),,
3051,POINT(23.55288 43.21024),,
3053,POINT(23.55288 43.21024),,
3056,POINT(25.5110264 40.8784128),1,199
3057,POINT(25.5116272 40.8776341),100,199
3058,POINT(25.5169487 40.9041718),200,399
3059,POINT(25.5126572 40.8773096),-27,284
3061,POINT(25.5108547 40.8752328),,
3062,POINT(25.5108547 40.8752328),,
3063,POINT(25.5140305 40.8791267),-399,-300
3064,POINT(25.5140305 40.8791267),,
3065,POINT(25.3625393 40.9427589),200,299
3068,POINT(25.42236 40.97212),,
3069,POINT(25.4214084 40.9683956),-360,-340
3070,POINT(25.5613232 40.9231115),293,305
3075,POINT(25.5601215 40.9225278),293,305
3077,POINT(24.6558199 40.9077565),280,299
3078,POINT(25.2105761 41.0972704),-99,99
3079,POINT(25.3433281 41.1564004),200,299
3080,POINT(25.3914663 41.172452),1,99
3083,POINT(25.3592824 41.0931259),-499,-475
3084,POINT(25.325278 41.128611),200,299
3086,POINT(25.3257179 41.1287627),500,599
3087,POINT(23.7143397 43.1462073),222,235
3088,POINT(27.9025698 43.2047379),150,200
3091,POINT(27.915498 43.2035022),100,200
3093,POINT(27.9033852 43.2047379),,
3094,POINT(23.71434 43.14621),,
3096,POINT(23.71434 43.14621),,
3097,POINT(23.71434 43.14621),,
3099,POINT(23.71434 43.14621),,
3100,POINT(23.71434 43.14621),,
3101,POINT(23.71434 43.14621),,
3102,POINT(23.71434 43.14621),,
3103,POINT(23.8870668 43.1852229),,
3104,POINT(23.8313626 43.1064516),,
3105,POINT(23.9189749 43.0956284),,
3106,POINT(27.9138994 43.2002958),138,161
3108,POINT(23.91897 43.09563),,
3109,POINT(27.9166889 43.1991695),138,161
3110,POINT(23.8152057 43.5932055),,
3111,POINT(23.81521 43.59321),,
3113,POINT(23.7933663 42.9076508),,
3115,POINT(27.9182124 43.2002957),227,227
3118,POINT(27.9072475 43.2030565),,
3119,POINT(27.9059601 43.2044251),,
3120,POINT(27.9192612 43.1998969),,
3121,POINT(27.9171664 43.2007337),-400,-300
3122,POINT(27.9030418 43.2051133),,
3124,POINT(23.9969972 43.187918),,
3126,POINT(23.997 43.18792),,
3130,POINT(23.997 43.18792),,
3131,POINT(23.997 43.18792),,
3134,POINT(23.997 43.18792),,
3135,POINT(23.997 43.18792),,
3136,POINT(23.914462 43.3121151),,
3137,POINT(24.1502023 43.0918638),,
3138,POINT(25.3244305 41.1277283),500,599
3140,POINT(25.3345483 41.0816802),400,599
3142,POINT(25.2283859 41.1293123),299,200
3143,POINT(25.2761936 41.1352275),200,299
3144,POINT(25.6334209 41.0129363),235,238
3148,POINT(25.5611 40.98017),200,299
3150,POINT(25.57119 41.02913),-399,-300
3151,POINT(25.720067 41.1316073),293,305
3153,POINT(25.6321335 41.1217155),100,299
3154,POINT(25.7384849 40.8498715),-320,-280
3156,POINT(27.9031277 43.2051758),,
3157,POINT(27.9183197 43.200108),,
3158,POINT(27.9030418 43.2051133),,
3160,POINT(27.9023552 43.2049881),100,200
3161,POINT(27.9178905 43.1982779),-200,-1
3163,POINT(27.9031277 43.2051758),,
3165,POINT(24.1502 43.09186),,
3167,POINT(24.1502 43.09186),,
3169,POINT(24.1502 43.09186),,
3171,POINT(24.1502 43.09186),,
3172,POINT(24.1502 43.09186),,
3174,POINT(24.1502 43.09186),,
3175,POINT(24.1502 43.09186),,
3176,POINT(24.1502 43.09186),,
3179,POINT(24.1502 43.09186),,
3180,POINT(24.1502 43.09186),,
3181,POINT(24.1502 43.09186),,
3182,POINT(24.1502 43.09186),,
3183,POINT(24.1502 43.09186),,
3184,POINT(24.1502 43.09186),,
3185,POINT(24.1502 43.09186),,
3186,POINT(24.1502 43.09186),,
3187,POINT(24.1502 43.09186),,
3188,POINT(24.1502 43.09186),,
3189,POINT(24.1502 43.09186),,
3192,POINT(25.6827521 40.8636634),-425,-400
3194,POINT(25.6815934 40.8636148),-350,-300
3195,POINT(25.6819367 40.8638095),-425,-400
3196,POINT(25.6826234 40.8634849),-460,-440
3198,POINT(25.681808 40.8637283),-460,-440
3200,POINT(25.6815934 40.8636797),-460,-440
3201,POINT(25.681572 40.8636634),-450,-400
3203,POINT(25.6818938 40.8640042),-450,-400
3204,POINT(25.6822157 40.8638095),-450,-400
3205,POINT(25.6819367 40.8637608),-450,-400
3206,POINT(25.6819797 40.8638095),-399,-350
3208,POINT(25.6819797 40.8636959),-399,-350
3209,POINT(25.6765294 40.8675418),-399,-350
3210,POINT(25.6818938 40.8633713),-399,-350
3211,POINT(25.6771277 40.8672366),-399,-350
3212,POINT(25.6824088 40.863631),-499,-300
3213,POINT(25.6771318 40.8667307),-399,-350
3214,POINT(25.6823874 40.8637933),-360,-340
3215,POINT(25.6821942 40.8638906),-360,-340
3216,POINT(25.6824732 40.8638095),-360,-340
3217,POINT(25.6821299 40.863631),-350,-300
3218,POINT(25.6825161 40.8636634),-350,-300
3219,POINT(25.6821299 40.863777),-350,-300
3220,POINT(25.682044 40.8637121),-350,-300
3221,POINT(25.6822586 40.8636959),-350,-300
3222,POINT(25.6771302 40.8673633),1,199
3223,POINT(25.6820226 40.8635498),-399,-300
3224,POINT(25.682795 40.8635174),-350,-300
3225,POINT(25.6825161 40.8636959),-399,-300
3226,POINT(25.6655645 40.8636148),-338,-30
3227,POINT(24.1502 43.09186),,
3228,POINT(24.1502 43.09186),,
3229,POINT(24.1502 43.09186),,
3230,POINT(24.1502 43.09186),,
3231,POINT(24.1502 43.09186),,
3232,POINT(24.1502 43.09186),,
3233,POINT(24.1502 43.09186),,
3234,POINT(24.1502 43.09186),,
3236,POINT(24.1502 43.09186),,
3239,POINT(24.1502 43.09186),,
3242,POINT(24.1502 43.09186),,
