Record ID,Personal name,Gender,Ethnicity,Roman onomastics,LPGN date,Parissaki date,Source check,Author or Creator >
121,"Antimenes","Male","Greek",,,,"Epigraphic corpus","2"
16504,"Antinoos","Male","Greek",,,,"LGPN","2"
15528,"Antino[?]","Ambiguous","Uncertain",,,,,"2"
10036,"Antiocheos","Male","Greek",,,,"LGPN","1793"
122,"Antiochos","Male","Greek",,,,"Epigraphic corpus","2"
9819,"Antios","Male","Roman","Gentilium",,,"Epigraphic corpus","1792"
123,"Antipatrides","Male","Greek",,,,"Epigraphic corpus","2"
124,"Antipatros","Male","Greek",,,,"Epigraphic corpus","2"
2184,"Antistia","Female","Roman","Gentilium",,,"Epigraphic corpus","2"
125,"Antitheos","Male","Greek",,,,"Epigraphic corpus","2"
4338,"Anti[?]","Ambiguous","Uncertain",,,,,"2"
127,"Anton","Male","Greek",,,,"Epigraphic corpus","2"
7631,"Antoneinianos","Male","Roman",,,,"Epigraphic corpus","1793"
2609,"Antoneinos","Male","Roman",,,,"Epigraphic corpus","2"
11440,"Antonia","Female","Roman","Cognomen",,,"Epigraphic corpus","1792"
8928,"Antonianos","Male","Roman",,,,"Epigraphic corpus","2"
12695,"Antonias","Female","Roman",,,,"Epigraphic corpus","1792"
8593,"Antonina","Female","Roman",,,,"Epigraphic corpus","1793"
7132,"Antoninos","Male","Roman",,,,"Epigraphic corpus","1793"
2185,"Antonios","Male","Roman","Gentilium",,,"Epigraphic corpus","2"
11577,"Antonis","Male","Roman",,,,"Epigraphic corpus","2"
4909,"Antoni[nos?]","Male","Roman","Gentilium",,,"Epigraphic corpus","2"
11204,"Anylleinos","Male","Roman",,,,"Epigraphic corpus","1793"
9062,"An[?]","Ambiguous","Uncertain",,,,,"2"
13578,"Aoueitos","Male","Roman",,,,"Epigraphic corpus","1793"
8353,"Aouilios","Male","Roman",,,,"Epigraphic corpus","2"
10519,"Aouitios","Male","Roman","Cognomen",,,"Epigraphic corpus","1792"
7290,"Aou[idios?]","Male","Roman",,,,"Epigraphic corpus","1793"
8793,"Apatorios","Male","Greek",,,,"LGPN","1792"
128,"Apatourios","Male","Greek",,,,"Epigraphic corpus","2"
2932,"Apelas","Male","Roman",,,,"Epigraphic corpus","2"
13068,"Apelinarios","Male","Uncertain",,,,"LGPN","1792"
129,"Apellas","Male","Greek",,,,"Epigraphic corpus","2"
130,"Apelles","Male","Greek",,,,"Epigraphic corpus","2"
131,"Apemon","Male","Greek",,,,"Epigraphic corpus","2"
2934,"Apes","Ambiguous","Uncertain",,,,"LGPN","2"
4857,"Ape[?]","Ambiguous","Uncertain",,,,,"1793"
132,"Apfe","Female","Greek",,,,"Epigraphic corpus","2"
133,"Apfia","Female","Greek",,,,"Epigraphic corpus","2"
6688,"Apfos / Apfous","Male","Roman",,,,"Epigraphic corpus","2"
14465,"Apfoution","Male","Greek",,,,"LGPN","2"
16057,"Aplinaris","Male","Roman",,,,"Epigraphic corpus","2"
3380,"Apo","Female","Uncertain",,,,,"2"
2721,"Apoidios","Male","Uncertain",,,,,"2"
2953,"Apolinarios","Male","Roman",,,,"Epigraphic corpus","2"
6156,"Apolinaris","Male","Roman",,,,"Epigraphic corpus","1793"
134,"Apollas","Male","Greek",,,,"Epigraphic corpus","2"
6761,"Apollinarios","Male","Roman",,,,"Epigraphic corpus","2"
13536,"Apollinaris","Male","Greek",,,,"LGPN","1793"
135,"Apollodoros","Male","Greek",,,,"Epigraphic corpus","2"
136,"Apollodotos","Male","Greek",,,,"Epigraphic corpus","2"
4320,"Apollodotos 2","Male","Greek",,,,"LGPN","2"
5607,"Apollod[oros/otos]","Male","Greek",,,,"LGPN","2"
137,"Apollofanes","Male","Greek",,,,"Epigraphic corpus","2"
138,"Apollofanion","Male","Greek",,,,"Epigraphic corpus","2"
139,"Apollonia","Female","Greek",,,,"Epigraphic corpus","2"
9850,"Apolloniaris","Male","Greek",,,,"LGPN","1792"
6555,"Apollonias","Male","Greek",,,,"LGPN","1793"
14485,"Apollonidas","Male","Greek",,,,"LGPN","2"
140,"Apollonides","Male","Greek",,,,"Epigraphic corpus","2"
141,"Apollonios","Male","Greek",,,,"Epigraphic corpus","2"
142,"Apollonis","Male","Greek",,,,"Epigraphic corpus","2"
9893,"Apollon[?]","Male","Greek",,,,"LGPN","1792"
4387,"Apollon[ios]","Male","Greek",,,,"LGPN","2"
12285,"Apollothemis","Male","Greek",,,,"LGPN","1792"
16121,"Apollo[?]","Male","Greek",,,,"LGPN","2"
4661,"Apollo[nios]","Male","Greek",,,,"LGPN","2"
5047,"Apoll[?]","Male","Greek",,,,"LGPN","1792"
4901,"Apolonios","Male","Greek",,,,"LGPN","1792"
4390,"Apol[?]","Ambiguous","Uncertain",,,,,"2"
143,"Apousios","Male","Greek",,,,"Epigraphic corpus","2"
2330,"Apoustios","Male","Roman","Gentilium",,,"Epigraphic corpus","2"
8127,"Apo[?]","Ambiguous","Uncertain",,,,,"2"
