corpusname,corpusidnumeric,personname,ethnicity,gender
IG Bulg 1(2),20278,6028,,
IG Bulg 5,75749,2189,,
I Aeg Thrace,10450,936,,
IG Bulg 2,30694,274,,
"IG Bulg 3,1",40911,2176|2458|683,,
"IG Bulg 3,1",41283,5078,,
Perinthos-Herakleia,80190,12811,,
"IG Bulg 3,1",41022,334,,
Other,100237,1020,,
IK Byzantion,95230,1093,,
IK Byzantion,95032,2287,,
IG Bulg 1(2),20263,5978,,
IK Byzantion,96002,1708,,
IG Bulg 1(2),20047,2189|2287,,
IG Bulg 1(2),20078.3,907,,
IG Bulg 1(2),20332,448,,
Other,100410,122,,
"IG Bulg 3,1",41074,2175|2206|2261|3325|8075,,
I Aeg Thrace,10256,4433,,
I Aeg Thrace,10167,862,,
IG Bulg 1(2),20322.3,141,,
IG Bulg 1(2),20369,2176|2189|2260,,
IG Bulg 4,61910,8925|8926,,
I Aeg Thrace,10218,374,,
IG Bulg 5,75061,1774,,
IG Bulg 1(2),20050,5592,,
Other,100270,223,,
IK Byzantion,95019,681,,
IG Bulg 1(2),20047.2,2458|2185,,
IG Bulg 4,61943,1294,,
I Aeg Thrace,10483,395,,
Perinthos-Herakleia,80290,13029,,
"IG Bulg 3,2",51706,7941|8093,,
"IG Bulg 3,1",41521,335,,
"IG Bulg 3,1",41212,141,,
IK Byzantion,95207,15147,,
IG Bulg 1(2),20027,1431,,
I Aeg Thrace,10089,2188|905,,
"IG Bulg 3,1",41323,2176|2189|2609,,
"IG Bulg 3,1",41219,10099,,
"IG Bulg 3,1",41537,1745,,
Perinthos-Herakleia,80186,12801,,
IG Bulg 4,62074,159,,
"IG Bulg 3,1",41174,2176|7042|9970,,
IG Bulg 5,75891,2188,,
I Aeg Thrace,10051,141,,
IG Bulg 4,62303,10906,,
Other,100125,2541,,
IG Bulg 1(2),20463.2,1273,,
"IG Bulg 3,2",51802,1338,,
IG Bulg 1(2),20194,3891,,
Perinthos-Herakleia,80078,4783|6961,,
IK Byzantion,95308,647,,
IG Bulg 4,61936,9055,,
IG Bulg 2,30656,261,,
IG Bulg 1(2),20046,1739,,
IG Bulg 1(2),20401,8196,,
Perinthos-Herakleia,80171,2188|12747,,
IG Bulg 4,61936,212,,
"IG Bulg 3,2",51585,2176|2189|3674|2609,,
Perinthos-Herakleia,80022,2177|2181|7564|2241,,
IG Bulg 1(2),20159,1379,,
IG Bulg 1(2),20174,3590,,
IK Byzantion,95011,12218,,
IG Bulg 2,30871,2181|7528,,
IK Byzantion,95177,682,,
IG Bulg 1(2),20324,1653,,
IG Bulg 1(2),20047.2,2189|2287,,
IG Bulg 5,75332,2358,,
IG Bulg 2,30646,5049|5050,,
IG Bulg 5,75360,1739,,
IG Bulg 5,75341,6237,,
IG Bulg 2,30743,1427,,
"IG Bulg 3,1",40910,2176|2189|2609,,
IG Bulg 2,30847,7445,,
IK Byzantion,96039,792,,
IG Bulg 1(2),20194,3891,,
IG Bulg 4,62196,2176,,
"IG Bulg 3,1",41094,9559,,
IG Bulg 4,62337,1558,,
IK Sestos,90064,14109,,
IG Bulg 4,62265,11235|686,,
IG Bulg 4,62214,2196|234,,
IG Bulg 5,75259,13094|449,,
Other,100408,16592,,
IG Bulg 4,62049,2173|2458|3146|3147,,
IG Bulg 2,30638,2173|2458|2241,,
Other,100147,16313,,
IG Bulg 4,62056,2173,,
"IG Bulg 3,1",40907,2176|2189|2609,,
IG Bulg 2,30696,903,,
IK Byzantion,95335,462,,
I Aeg Thrace,10212,4282,,
IG Bulg 2,30540,2659,,
"IG Bulg 3,1",41516,7436,,
IG Bulg 1(2),20047.2,2189|129,,
IG Bulg 5,75659,2189|2287|11601,,
I Aeg Thrace,10087,3891,,
Other,100291,3891,,
"IG Bulg 3,1",41496,831,,
IG Bulg 4,62314,1554,,
"IG Bulg 3,1",41401,2179|2181|2358|2609,,
IG Bulg 1(2),20012.2,2211|816,,
"IG Bulg 3,2",51630,7218,,
IG Bulg 5,75411,10530,,
IK Sestos,90018,565,,
"IG Bulg 3,2",51690,1196,,
I Aeg Thrace,10212,792,,
Other,100265,390,,
IG Bulg 5,75789,12629,,
IG Bulg 1(2),20314,790,,
Perinthos-Herakleia,80294,2178|2458|13038,,
IG Bulg 4,62024,2176|2189|2609,,
IG Bulg 5,75067,291,,
IG Bulg 5,75438,1191,,
Other,100067,15678,,
"IG Bulg 3,2",51766,8315,,
"IG Bulg 3,1",41318,10269,,
Perinthos-Herakleia,80016,12017,,
Other,100350,15074,,
"IG Bulg 3,1",41040,1196,,
"IG Bulg 3,2",51690,1194,,
IK Byzantion,95247,15236,,
"IG Bulg 3,2",51731,1562,,
IG Bulg 4,62104,427,,
IG Bulg 5,75465,673,,
IK Byzantion,95017,14234,,
I Aeg Thrace,10349,1638,,
Other,100267,2189|209,,
"IG Bulg 3,1",40956,4672,,
IG Bulg 1(2),20008.3,954,,
IG Bulg 4,62056,2173,,
I Aeg Thrace,10264,4471,,
"IG Bulg 3,2",51690,247,,
IG Bulg 2,30687,2188|3149,,
IG Bulg 1(2),20014,2189|2219,,
"IG Bulg 3,2",51690,307,,
I Aeg Thrace,10190,2179|2642|2643,,
IK Sestos,90049,1769,,
IG Bulg 1(2),20040,2782,,
IG Bulg 5,75466,2179|2211|998,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 1(2),20050,2287,,
I Aeg Thrace,10208,2179,,
IK Byzantion,95352,2173|2458,,
"IG Bulg 3,2",51690,532,,
IG Bulg 1(2),20045,1310,,
IG Bulg 1(2),20047.2,2189|847,,
IG Bulg 5,75301,2181|3107,,
IG Bulg 1(2),20193,5404,,
IG Bulg 4,62302,2175,,
IG Bulg 1(2),20121,5777,,
IG Bulg 5,75930,13868,,
IG Bulg 4,61963,9161,,
IK Sestos,90040,14044,,
I Aeg Thrace,10232,4364,,
"IG Bulg 3,2",51766,6724|2265,,
IG Bulg 1(2),20399,5396|1740,,
IG Bulg 1(2),20443,78,,
IG Bulg 2,30617,2175|2206|3692,,
IG Bulg 5,75886,2189|9528,,
IG Bulg 1(2),20479,160,,
I Aeg Thrace,10041,153,,
"IG Bulg 3,1",41341,1599,,
IK Sestos,90012,8016,,
IG Bulg 4,62115.2,2176|2412|2229,,
Perinthos-Herakleia,80153,2189|12586,,
IK Byzantion,95349,15466,,
IK Byzantion,95190,1373,,
IG Bulg 1(2),20014,2189|2602,,
IG Bulg 2,30618,2175|2206|3692,,
"IG Bulg 3,2",51621,1194,,
IG Bulg 2,30845,7197,,
IG Bulg 4,62057,9761,,
IG Bulg 4,62056,2659,,
Other,100303,2458|16160,,
IG Bulg 1(2),20323,360,,
"IG Bulg 3,1",41537,641|11199,,
IG Bulg 1(2),20190,1310,,
Perinthos-Herakleia,80123,12482,,
IG Bulg 4,62252,1507,,
IK Sestos,90072,14134,,
IG Bulg 2,30520,2211|1196,,
IG Bulg 2,30688,2173|2626|2992,,
IK Byzantion,95157,2264|15055,,
"IG Bulg 3,1",41516,421,,
IG Bulg 5,75154,11833,,
IK Byzantion,95375,15513,,
"IG Bulg 3,1",41516,4095,,
IG Bulg 5,75340,4399,,
I Aeg Thrace,10053,3954,,
IG Bulg 5,75078,11737,,
"IG Bulg 3,1",41324,2179|2211|1782,,
IG Bulg 5,75886,1404,,
"IG Bulg 3,1",41542,11213,,
Perinthos-Herakleia,80020,2176|2412|6840|6841,,
Other,100173,1403,,
IK Sestos,90002,2179|13888|13890,,
IG Bulg 5,75024,1739,,
IG Bulg 5,75884,9528,,
"IG Bulg 3,2",51690,1480,,
IG Bulg 1(2),20293,3891,,
I Aeg Thrace,10455,4781,,
IG Bulg 5,75394.2,247,,
I Aeg Thrace,10204,3891,,
IG Bulg 1(2),20047.2,2189|56,,
IG Bulg 5,75810,6550|3443,,
IG Bulg 2,30645,213|212,,
IG Bulg 1(2),20327.01,138,,
"IG Bulg 3,2",51593,2211|1508,,
IG Bulg 1(2),20078.3,40,,
IG Bulg 1(2),20339.4,742,,
IK Byzantion,95307,56,,
IK Sestos,90007,4399,,
IG Bulg 2,30798,4437,,
IG Bulg 1(2),20064,1387,,
IG Bulg 1(2),20138.2,3891,,
"IG Bulg 3,1",41516,1594,,
"IG Bulg 3,1",41435,2176,,
IG Bulg 1(2),20017,2176|2189|2609,,
IG Bulg 1(2),20340,4965,,
"IG Bulg 3,1",41209,507|10080,,
IG Bulg 1(2),20047,2189|7186,,
IK Sestos,90002,13892|13893,,
IK Byzantion,95151,1020,,
I Aeg Thrace,10422,1070,,
Other,100376,2466,,
IG Bulg 1(2),20429,560,,
"IG Bulg 3,2",51578,826,,
IG Bulg 5,75595,13509,,
"IG Bulg 3,1",41517,1196,,
IG Bulg 4,61918,2175|3674,,
IG Bulg 1(2),20092,2210|3332,,
I Aeg Thrace,10357,55,,
IK Sestos,90066,14117,,
IG Bulg 2,30867,2287,,
Other,100342,16242,,
Other,100346,2176|16263|2241,,
Other,100275,16079,,
IG Bulg 1(2),20287,129,,
I Aeg Thrace,10184,1370,,
I Aeg Thrace,10357,4648,,
IG Bulg 4,62331,303,,
IG Bulg 5,75592,2179|4010|6789|2454,,
Other,100355,196,,
"IG Bulg 3,1",41006,9524|9525,,
"IG Bulg 3,1",41318,2189|7516,,
IG Bulg 4,62150,2412,,
IG Bulg 5,75577,1462,,
"IG Bulg 3,2",51593,2175|6920|1768,,
IG Bulg 5,75334,2176|2189|3146,,
Perinthos-Herakleia,80092,356,,
I Aeg Thrace,10212,473|2716,,
Other,100173,1089,,
I Aeg Thrace,10308,2175,,
IG Bulg 4,61982,2176|2189|2261|56|6656,,
IG Bulg 4,61923,3891,,
I Aeg Thrace,10235,1183,,
"IG Bulg 3,1",41018,9638|9639,,
"IG Bulg 3,1",41022,884,,
IG Bulg 5,75569,2189|7132,,
IG Bulg 2,30732,6863|2452,,
IG Bulg 4,62023,4383,,
"IG Bulg 3,1",40884,7679,,
IG Bulg 2,30691,6544,,
IG Bulg 1(2),20010,4324,,
IG Bulg 5,75472,2173|2459|2212,,
Other,100264,998,,
IG Bulg 5,75636,2176|2185|1740,,
"IG Bulg 3,2",51777,2173|8353|2243,,
I Aeg Thrace,10288,4544,,
"IG Bulg 3,2",51690,1196,,
Other,100154,940,,
Other,100166,2173|16367|3235,,
IG Bulg 1(2),20401,1561,,
IK Byzantion,95019,14251,,
I Aeg Thrace,10259,4466,,
Other,100245,1645,,
IG Bulg 5,75085,961,,
IG Bulg 1(2),20330.3,1351,,
IG Bulg 1(2),20441,108,,
IG Bulg 5,75600,2211,,
IG Bulg 2,30518,2181|3178,,
IK Byzantion,96054,14415,,
Other,100110,15797,,
IG Bulg 1(2),20318,16703,,
I Aeg Thrace,10168,3891,,
IG Bulg 5,75692,7718|13618,,
"IG Bulg 3,2",51849,1198,,
Other,100046,819,,
IK Byzantion,95117.2,14539,,
"IG Bulg 3,2",51827,2997|2283,,
IG Bulg 1(2),20254,1184,,
IG Bulg 5,75619,2211,,
IK Byzantion,95018,1128,,
"IG Bulg 3,1",41196,2257,,
"IG Bulg 3,1",40910,2175|2206|2261|3325|8075,,
I Aeg Thrace,10067,3957,,
I Aeg Thrace,10124,472,,
