corpusname,corpusidnumeric,personname,ethnicity,gender
I Aeg Thrace,10212,2175|2721|2722,,
"IG Bulg 3,2",51690,7744,,
Perinthos-Herakleia,80283,2189|13005,,
"IG Bulg 3,1",41009,1611,,
IG Bulg 5,75162,11854,,
"IG Bulg 3,1",41064.2,1594,,
IG Bulg 1(2),20078.3,196,,
IK Byzantion,95364,1128,,
IG Bulg 2,30739,2272,,
IG Bulg 1(2),20389,1421,,
IG Bulg 4,62234,10791,,
IG Bulg 1(2),20047,2189|221,,
IK Byzantion,95353,2177|15472|15473,,
IG Bulg 1(2),20075,5887,,
Perinthos-Herakleia,80057,191,,
IK Byzantion,95140,2688,,
"IG Bulg 3,1",41543,1645,,
IG Bulg 1(2),20047.2,2176|2189|196,,
IG Bulg 1(2),20046,141,,
IG Bulg 1(2),20047,2189|221,,
"IG Bulg 3,1",41523,1520,,
IG Bulg 2,30660,3670,,
IG Bulg 4,62277,11276,,
IG Bulg 1(2),20047,2189|196,,
Perinthos-Herakleia,80044,12087,,
I Aeg Thrace,10271,4510,,
"IG Bulg 3,1",41517,2189|781,,
IG Bulg 2,30625,2634,,
"IG Bulg 3,2",51583,2260,,
"IG Bulg 3,2",51577,2176|2185,,
IG Bulg 5,75103,375,,
"IG Bulg 3,1",41123,2222,,
Perinthos-Herakleia,80061,1675,,
IK Byzantion,95329,15437,,
"IG Bulg 3,1",40955,197,,
IG Bulg 4,62015,1594,,
Perinthos-Herakleia,80041,12083,,
Perinthos-Herakleia,80222,2185,,
IG Bulg 1(2),20401,390,,
IG Bulg 1(2),20047.2,2189|212,,
"IG Bulg 3,1",40884,2659,,
IG Bulg 2,30841,243,,
IK Byzantion,96032,14925,,
IG Bulg 5,75153,11828,,
"IG Bulg 3,1",41014,1641,,
IG Bulg 1(2),20046,633,,
IG Bulg 1(2),20051.2,998,,
IG Bulg 4,62343,2188|716,,
"IG Bulg 3,1",41312,62,,
IG Bulg 4,61925,6506,,
"IG Bulg 3,1",40912,7937,,
IG Bulg 1(2),20449,772,,
IG Bulg 1(2),20047,2176|2189|1310,,
IG Bulg 4,62329.2,1404,,
I Aeg Thrace,10386,279,,
I Aeg Thrace,10409,1413,,
I Aeg Thrace,10212,2287,,
"IG Bulg 3,1",40881,5368,,
Perinthos-Herakleia,80312,2188|13077,,
Other,100280,16091,,
IK Byzantion,95254,15080,,
IG Bulg 5,75693,2177|2200|5115,,
IK Byzantion,95086,141,,
"IG Bulg 3,2",51690,1194,,
Perinthos-Herakleia,80267,12980,,
IG Bulg 5,75244,2185,,
IG Bulg 2,30832,7374,,
I Aeg Thrace,10096,4026,,
IG Bulg 2,30632,2358,,
"IG Bulg 3,1",41367,1194,,
IG Bulg 4,62348,135,,
Other,100089,160,,
"IG Bulg 3,1",41516,494,,
Perinthos-Herakleia,80158,2189|846,,
IG Bulg 1(2),20043,456,,
IG Bulg 2,30605,2176|2189|3146,,
IG Bulg 1(2),20051.2,2287,,
I Aeg Thrace,10128,1151,,
IG Bulg 4,62074,335,,
IG Bulg 1(2),20070,2179|2181|2358|2609,,
IG Bulg 4,62072,9850,,
"IG Bulg 3,1",41446,10825,,
IG Bulg 2,30625,2609,,
IG Bulg 2,30622,2175|2206|3692,,
IG Bulg 1(2),20108,3383,,
IG Bulg 2,30867,1123,,
IK Byzantion,95125,1096,,
I Aeg Thrace,10088,2188|4013,,
I Aeg Thrace,10278,4526,,
IG Bulg 4,62056,2229,,
"IG Bulg 3,2",51690,2997|2998,,
Perinthos-Herakleia,80183,4871,,
IG Bulg 1(2),20045,3891,,
IG Bulg 2,30630,2175|2206|2261|3325|8075,,
IG Bulg 5,75319,13206,,
IG Bulg 1(2),20047.2,2204|1639,,
"IG Bulg 3,2",51616,574,,
IG Bulg 1(2),20255,2208|2268,,
"IG Bulg 3,2",51631,7223,,
IK Byzantion,95071,14400,,
IG Bulg 5,75830,1433,,
Perinthos-Herakleia,80136,12522|12524,,
"IG Bulg 3,1",41517,2196|11102,,
I Aeg Thrace,10389,1616,,
IK Byzantion,95244,13,,
IG Bulg 4,61993,2688|6860|11030,,
"IG Bulg 3,2",51589,2176|2412|6840|6841,,
IG Bulg 2,30790,2175|13213|2204,,
IG Bulg 4,62002,8091|3149|2658,,
IG Bulg 2,30737,5444,,
Other,100393,6991|10419|3690,,
"IG Bulg 3,2",51690,7755,,
Perinthos-Herakleia,80061,23,,
IG Bulg 1(2),20448.2,8838,,
IG Bulg 5,75129,2659,,
I Aeg Thrace,10144,1154,,
Perinthos-Herakleia,80090,12313|12373,,
I Aeg Thrace,10257,435,,
IG Bulg 5,75609,2189|137,,
IG Bulg 2,30734,2189|2260,,
"IG Bulg 3,2",51690,524,,
Other,100264,1616,,
IG Bulg 1(2),20051.2,2976,,
Perinthos-Herakleia,80308,875,,
IK Byzantion,95137,264,,
IK Sestos,90038,390,,
Other,100072,15696,,
IG Bulg 1(2),20281,2287,,
"IG Bulg 3,1",41512,2458|2953,,
IG Bulg 2,30751,1145,,
IG Bulg 1(2),20011,2189|2204,,
IG Bulg 2,30688,2173|2626|2229,,
Perinthos-Herakleia,80298,2664|2215,,
IG Bulg 5,75150,1159,,
Perinthos-Herakleia,80148,2189|56,,
IG Bulg 1(2),20176.2,116,,
IK Byzantion,95066,6211,,
I Aeg Thrace,10212,1655,,
IG Bulg 5,75344,2277,,
I Aeg Thrace,10370,4437,,
IK Sestos,90031,13983|13984,,
Perinthos-Herakleia,80185,12798,,
IG Bulg 1(2),20102,1455,,
"IG Bulg 3,2",51690,461,,
I Aeg Thrace,10278,4524,,
IG Bulg 1(2),20078.3,20,,
IK Byzantion,95128,15005,,
IK Byzantion,95340,15453,,
IG Bulg 5,75011,1045,,
"IG Bulg 3,2",51690,497,,
IG Bulg 5,75910,13835|1757,,
IK Byzantion,95374,15063,,
"IG Bulg 3,1",40884,2189|1242,,
IG Bulg 4,62057,9765,,
IG Bulg 4,61912,45,,
IG Bulg 4,62057,3443,,
"IG Bulg 3,1",41512,6506|11034,,
"IG Bulg 3,1",41221,7767,,
"IG Bulg 3,2",51640,2261,,
IG Bulg 4,62003,16689,,
"IG Bulg 3,2",51639,476,,
IG Bulg 5,75335,3670,,
IG Bulg 1(2),20455,397,,
IK Byzantion,95367,12166,,
IK Byzantion,95120,1640,,
IG Bulg 2,30716,2261,,
IG Bulg 1(2),20047,2189|2176,,
IG Bulg 2,30771,548,,
I Aeg Thrace,10286,2287,,
IG Bulg 1(2),20049,842,,
IG Bulg 2,30492,796,,
I Aeg Thrace,10185,2358|2357|2634|2429|4188,,
IG Bulg 2,30515,3173,,
IG Bulg 1(2),20047,2189|2211,,
IG Bulg 2,30627,2358,,
IG Bulg 4,62349,2349|2175,,
I Aeg Thrace,10457,129,,
IG Bulg 1(2),20112,339,,
"IG Bulg 3,1",41006,2178|2196|9522,,
IK Byzantion,95207,15146,,
IG Bulg 1(2),20047.2,2189|2917,,
"IG Bulg 3,2",51706,8091|3149|2658,,
IK Sestos,90038,43,,
IG Bulg 1(2),20366,6597,,
IG Bulg 4,61997,9235,,
Other,100135,1078,,
"IG Bulg 3,2",51626,497,,
IG Bulg 2,30606,2179|2181|2358|2609,,
IG Bulg 1(2),20100,196,,
IK Byzantion,95265,15271,,
"IG Bulg 3,1",40953,2462,,
"IG Bulg 3,2",51690,532,,
"IG Bulg 3,2",51690,683,,
Perinthos-Herakleia,80184,2178|2196|2241,,
IG Bulg 4,62279,11291,,
IG Bulg 5,75811,2920,,
Other,100197,1192,,
"IG Bulg 3,1",41166,485,,
Other,100124,15836,,
"IG Bulg 3,1",41516,11055,,
I Aeg Thrace,10239,4377,,
"IG Bulg 3,1",41145,843|7394,,
"IG Bulg 3,2",51771,2272,,
IG Bulg 2,30722,6743,,
"IG Bulg 3,2",51846,7223,,
Perinthos-Herakleia,80174,12755|644,,
IG Bulg 4,62346,1403,,
IG Bulg 4,62214,1272,,
IG Bulg 4,62006,9309,,
IG Bulg 1(2),20047.2,2189|196,,
"IG Bulg 3,1",40920,7968,,
IG Bulg 1(2),20022.2,469,,
IK Byzantion,95245,356,,
IG Bulg 5,75691,4773|4774,,
IK Byzantion,95101,2287,,
Perinthos-Herakleia,80061,249,,
IG Bulg 4,62057,922,,
IG Bulg 1(2),20046,1248,,
IG Bulg 1(2),20296,6106,,
IG Bulg 5,75786,10803|2176|2185|2656,,
IG Bulg 5,75692,2688|6860|11030,,
"IG Bulg 3,2",51598,247,,
"IG Bulg 3,1",40900,2176|2458|683,,
IG Bulg 4,62062,1219,,
IG Bulg 2,30631,2175|2206|2261|3325|8075,,
Perinthos-Herakleia,80137,8137|12529,,
IG Bulg 1(2),20338.4,595,,
"IG Bulg 3,2",51862,11563,,
IK Sestos,90035,13996,,
IG Bulg 5,75261,13098|2215,,
IG Bulg 2,30737,2189|6875,,
IG Bulg 4,62213,2176|2189|816,,
IG Bulg 2,30626,2175|2206|2261|3325|8075,,
IG Bulg 4,62056,1196,,
IG Bulg 1(2),20334.3,3891,,
I Aeg Thrace,10234,1157,,
Perinthos-Herakleia,80049.1,2173|2458|2933,,
IG Bulg 2,30510,2458,,
IG Bulg 1(2),20399,8104,,
IK Byzantion,95224,14008,,
Perinthos-Herakleia,80094,12397,,
Perinthos-Herakleia,80061,78,,
"IG Bulg 3,1",41516,422,,
IG Bulg 1(2),20178,1761,,
IG Bulg 5,75819,2189|11398,,
"IG Bulg 3,2",51666,1629,,
I Aeg Thrace,10084,929,,
IG Bulg 1(2),20479.3,9447,,
Perinthos-Herakleia,80173,2189|1640,,
"IG Bulg 3,1",41517,2189|1196,,
"IG Bulg 3,1",41358,10376,,
IG Bulg 2,30817,1212,,
I Aeg Thrace,10357,4650,,
IK Byzantion,95328,1095,,
I Aeg Thrace,10413,198,,
Perinthos-Herakleia,80004,11980,,
Perinthos-Herakleia,80074,2211|2659,,
IG Bulg 2,30625,2175|2206|2261|3325|8075,,
"IG Bulg 3,1",41517,2189|456,,
IG Bulg 4,62310,56,,
IK Byzantion,95270,137,,
IG Bulg 4,62298,1403,,
IG Bulg 5,75599,2175|2189|3146,,
Other,100093,4112,,
Other,100082,892,,
IG Bulg 1(2),20078.3,784,,
IG Bulg 1(2),20206.5,135,,
"IG Bulg 3,1",41340,2462,,
IG Bulg 1(2),20448,142,,
IG Bulg 5,75691,13611|13609|13612,,
"IG Bulg 3,2",51834,2189|449,,
"IG Bulg 3,1",41508,7479,,
IG Bulg 4,62051,3891,,
IK Byzantion,95317,2176,,
IG Bulg 1(2),20401,1762,,
I Aeg Thrace,10475,3453,,
"IG Bulg 3,1",41471,2204|683,,
IG Bulg 1(2),20050,5600,,
IG Bulg 5,75924,2185|2222,,
IK Byzantion,95227,135,,
IG Bulg 5,75282,13135,,
"IG Bulg 3,1",40884,2189|7650,,
IG Bulg 5,75244,796,,
Perinthos-Herakleia,80021,2176|2412|6840|6841,,
IG Bulg 2,30715,340,,
I Aeg Thrace,10253,4418,,
I Aeg Thrace,10007,689,,
IK Sestos,90026,13967,,
IG Bulg 5,75244,2178|2196,,
IG Bulg 2,30692,646,,
Other,100327,2179|2211|13372,,
IK Byzantion,95240,3391,,
I Aeg Thrace,10212,792,,
Other,100297,2179|11475|3697,,
I Aeg Thrace,10212,1068,,
Perinthos-Herakleia,80105,2189|12438,,
"IG Bulg 3,1",41337,3191|6724|6717,,
IG Bulg 5,75637,13583,,
I Aeg Thrace,10456,4783|3423,,
"IG Bulg 3,2",51845,8706|2243,,
IK Sestos,90003,11935,,
IG Bulg 4,62319,10906,,
"IG Bulg 3,1",41311,172,,
Other,100155,1192,,
IG Bulg 1(2),20228.2,2189|1337,,
IG Bulg 1(2),20369,2211|2234,,
"IG Bulg 3,1",41464,515,,
IG Bulg 5,75667,1400,,
Other,100346,2176|16263|2241,,
IK Byzantion,95037,1377,,
IK Byzantion,95129,160,,
IG Bulg 1(2),20220,176,,
IK Byzantion,95237,14020,,
IG Bulg 2,30624,2175|2458|3702,,
"IG Bulg 3,2",51704,7711|7713|7714,,
IG Bulg 5,75335,2175|2189|3146,,
"IG Bulg 3,1",41375,2176|2185|2656,,
IG Bulg 1(2),20177.3,248,,
IG Bulg 5,75807,2177|6550|1162,,
I Aeg Thrace,10213,4322,,
IG Bulg 2,30861,287,,
IG Bulg 1(2),20079.2,696,,
IG Bulg 5,75294,13165,,
"IG Bulg 3,1",40902,2176|2189|2609,,
IG Bulg 5,75180,2189|2241,,
Perinthos-Herakleia,80006,11991,,
IG Bulg 1(2),20078.3,1761,,
"IG Bulg 3,1",41517,2189|9461,,
"IG Bulg 3,1",41184,2175|2348|9996,,
IK Byzantion,95146,15029,,
IG Bulg 1(2),20047.2,2189|1139,,
IK Byzantion,96042,14944,,
IK Byzantion,95280,14109,,
IK Byzantion,95265,15269,,
"IG Bulg 3,1",41303,390,,
IG Bulg 5,75599,3734|2241,,
IG Bulg 2,30535,2189|456,,
"IG Bulg 3,1",41175,485,,
"IG Bulg 3,2",51875,2189|8865,,
IG Bulg 1(2),20028.2,5354,,
"IG Bulg 3,1",41511,2688|6860|11030,,
"IG Bulg 3,2",51690,274,,
I Aeg Thrace,10168,1152,,
IG Bulg 1(2),20060,2179|2991|2992,,
I Aeg Thrace,10212,937,,
IK Byzantion,95032,1549,,
"IG Bulg 3,2",51593,1616,,
IG Bulg 5,75214,2173|3689|3690,,
"IG Bulg 3,1",40884,2189|191|7654,,
IG Bulg 1(2),20171,3541,,
IG Bulg 1(2),20050,2929,,
"IG Bulg 3,1",40931,2175|2206|2173,,
IG Bulg 1(2),20024,2458|2238,,
IK Byzantion,95265,14474,,
"IG Bulg 3,1",41073,1190,,
I Aeg Thrace,10436,1223,,
"IG Bulg 3,2",51834,2189|196,,
IG Bulg 5,75070,11715,,
IG Bulg 2,30815,56,,
IK Byzantion,95219,15171,,
IG Bulg 5,75214,2176|2189|2609,,
"IG Bulg 3,2",51559,2176|2189|2609,,
IG Bulg 4,62192,1348,,
IG Bulg 4,62192,10639,,
IG Bulg 1(2),20046,196,,
Other,100086,473,,
IG Bulg 2,30494,4861,,
Other,100331,16214|56,,
IG Bulg 1(2),20385,1740,,
IG Bulg 5,75338,13260,,
Perinthos-Herakleia,80061,12234,,
I Aeg Thrace,10379,1768,,
"IG Bulg 3,2",51626,1189,,
"IG Bulg 3,1",40884,796,,
I Aeg Thrace,10400,1354,,
IG Bulg 2,30664,5978,,
IG Bulg 1(2),20014,2189|393,,
IG Bulg 1(2),20379,1280,,
Perinthos-Herakleia,80296,3073,,
IK Byzantion,95244,142,,
IG Bulg 1(2),20182,5856,,
"IG Bulg 3,2",51657,1442,,
Other,100303,2458|16162,,
IG Bulg 1(2),20131,616,,
I Aeg Thrace,10177,1320,,
IK Byzantion,96047,12166,,
I Aeg Thrace,10295,935,,
IG Bulg 5,75153,134,,
IG Bulg 5,75462,13404,,
IG Bulg 1(2),20047.2,2176|2189|775,,
"IG Bulg 3,2",51690,6597,,
IG Bulg 5,75102,1256,,
Other,100184,16417,,
IK Byzantion,95363,15220,,
Perinthos-Herakleia,80101,1212,,
IG Bulg 1(2),20010,2261,,
"IG Bulg 3,2",51626,7188,,
"IG Bulg 3,1",40902,2173,,
IG Bulg 2,30728,6820|6821,,
IG Bulg 5,75345,7197,,
IG Bulg 1(2),20053,922,,
"IG Bulg 3,2",51841,4437,,
IG Bulg 1(2),20047.2,2189|2452,,
IK Byzantion,95019,3891,,
"IG Bulg 3,2",51731,8183,,
IG Bulg 2,30663,2181|6156,,
IK Byzantion,95285,895,,
I Aeg Thrace,10135,2541,,
Perinthos-Herakleia,80167,2189|12712,,
IG Bulg 1(2),20056,3891,,
IK Byzantion,96042,141,,
IG Bulg 4,62213,2188|791,,
Other,100364,1640,,
I Aeg Thrace,10113,1740,,
I Aeg Thrace,10331,4608,,
IK Byzantion,95098,2176|14482,,
"IG Bulg 3,1",41354,10367,,
"IG Bulg 3,1",41090,9548,,
Perinthos-Herakleia,80061,12183,,
IG Bulg 2,30709,6635,,
Other,100268,16046,,
IG Bulg 2,30738,1778,,
"IG Bulg 3,1",40970,556,,
IG Bulg 1(2),20046,20,,
IG Bulg 1(2),20343.2,2287,,
IG Bulg 4,61985,2189|8926,,
"IG Bulg 3,1",41417,2189|1196,,
"IG Bulg 3,1",41141,2189|1196,,
IK Byzantion,95089,1663,,
Perinthos-Herakleia,80061,12247,,
IG Bulg 5,75780,141,,
IG Bulg 4,62056,792,,
I Aeg Thrace,10201,4206,,
IG Bulg 1(2),20294,4437,,
"IG Bulg 3,1",40912,2252,,
IG Bulg 1(2),20401,695,,
Other,100344,16256,,
"IG Bulg 3,1",41516,11077,,
IK Byzantion,95231,15198,,
Perinthos-Herakleia,80185,2211|456,,
Perinthos-Herakleia,80066,12333,,
"IG Bulg 3,2",51751,2189|2243,,
I Aeg Thrace,10365,2466,,
IG Bulg 1(2),20050,5611,,
IG Bulg 1(2),20166,1307,,
IG Bulg 2,30692,6550|2173,,
IK Byzantion,95032,2481|14306,,
"IG Bulg 3,2",51807,2260,,
IG Bulg 5,75825,1195,,
Other,100297,2176|2189|16143,,
IK Byzantion,96041,10422,,
IG Bulg 1(2),20190,3383,,
I Aeg Thrace,10335,2173,,
IG Bulg 5,75790,2189|787,,
IK Byzantion,96049,14957,,
IG Bulg 4,61975,2189|2176,,
Perinthos-Herakleia,80021,2176|2189|12024,,
IG Bulg 1(2),20047,2189|2268,,
IG Bulg 5,75572,2178|2196,,
I Aeg Thrace,10337,4612,,
IG Bulg 2,30798,1301,,
Perinthos-Herakleia,80259,4437,,
IG Bulg 5,75813,2211|2252,,
"IG Bulg 3,2",51849,8728,,
IK Byzantion,95225,15186,,
"IG Bulg 3,1",40884,2189|1433,,
IG Bulg 5,75234,335,,
Perinthos-Herakleia,80304,12518,,
Perinthos-Herakleia,80095,2176|2458|12401,,
IG Bulg 5,75600,2176|2189|2609,,
IG Bulg 2,30834,7380,,
Other,100332,2189|1546,,
IG Bulg 1(2),20022.2,2176|2189|2656,,
I Aeg Thrace,10204,1471,,
"IG Bulg 3,2",51690,497,,
IG Bulg 1(2),20046,1385,,
IG Bulg 2,30689,6506,,
IK Byzantion,95145,15027,,
Other,100105,70,,
IG Bulg 4,62011,792,,
Perinthos-Herakleia,80216,12861,,
I Aeg Thrace,10230,1150,,
IG Bulg 1(2),20031,3891,,
IG Bulg 2,30714,2181|1377,,
IG Bulg 4,62330,2177|2181|11435,,
IK Byzantion,95072,14403,,
I Aeg Thrace,10064,271,,
IK Byzantion,96044,2541,,
IG Bulg 1(2),20185,3613,,
"IG Bulg 3,1",40993,2251,,
IG Bulg 1(2),20048,2173|2211|264,,
IG Bulg 4,62058,9774,,
"IG Bulg 3,1",41218,3891,,
"IG Bulg 3,1",41374,2179|2196|3013|9706,,
IG Bulg 5,75318,2243,,
I Aeg Thrace,10005,792,,
IG Bulg 1(2),20070.2,2176|2189|2261|56|6656,,
IG Bulg 5,75691,4775|13609,,
I Aeg Thrace,10303,2879,,
Perinthos-Herakleia,80101,196|12423,,
IG Bulg 2,30761,7029,,
IG Bulg 4,62340,3191|2185|11392,,
IG Bulg 1(2),20014,2189|124,,
Perinthos-Herakleia,80217,7091,,
"IG Bulg 3,1",41013,2181|4580,,
"IG Bulg 3,1",41491,2176|2189|2609,,
IG Bulg 4,62056,16160,,
IG Bulg 1(2),20022.2,4531,,
Perinthos-Herakleia,80061,1642,,
IG Bulg 2,30606,2429,,
IG Bulg 2,30863,2177|2211|7488|5978,,
"IG Bulg 3,1",41374,2173|2458|3146|3147,,
I Aeg Thrace,10046,3950,,
IG Bulg 1(2),20022.2,2189,,
IG Bulg 5,75067,141,,
I Aeg Thrace,10224,824,,
IK Byzantion,95022,689,,
Other,100145,1068,,
IK Byzantion,95370.1,1476,,
IG Bulg 1(2),20014,2189|1373,,
IG Bulg 4,62297,2189|1072,,
IK Byzantion,95315,2257,,
IK Byzantion,95085,14439,,
Perinthos-Herakleia,80044,2196,,
"IG Bulg 3,1",40884,7638,,
Perinthos-Herakleia,80048,12115|902,,
IG Bulg 5,75038,804,,
Perinthos-Herakleia,80155,2188|12306,,
"IG Bulg 3,1",40884,2458|7670,,
Other,100336,1008,,
Perinthos-Herakleia,80001,286,,
"IG Bulg 3,1",41536,2189|1196,,
Perinthos-Herakleia,80061,1150,,
IG Bulg 4,61926,6135|2196|3107,,
IG Bulg 1(2),20203.2,5008,,
IG Bulg 2,30642,2177|2181|3735,,
IG Bulg 4,62300,1012,,
IG Bulg 5,75340,2204,,
I Aeg Thrace,10005,998,,
IG Bulg 5,75468,2177|7042|2229,,
IG Bulg 4,62192,1196,,
IG Bulg 2,30615,2196|3685,,
I Aeg Thrace,10436,456,,
"IG Bulg 3,2",51747,2189|2452,,
"IG Bulg 3,2",51690,1196,,
IG Bulg 2,30864,450,,
IK Byzantion,95344,15015,,
Other,100383,2211|451,,
"IG Bulg 3,1",41178,9979|8127,,
"IG Bulg 3,1",41421,9781|389,,
IG Bulg 5,75835,12885|2196,,
IG Bulg 1(2),20047.2,2189|1073,,
IG Bulg 5,75720,13666,,
I Aeg Thrace,10084,2457,,
IK Byzantion,95327,2287,,
IG Bulg 4,62232,2176,,
IG Bulg 1(2),20325,812,,
IG Bulg 4,62057,6622,,
IG Bulg 1(2),20287,1491,,
IG Bulg 4,61999,2176|2189|2609,,
I Aeg Thrace,10163,3891,,
"IG Bulg 3,1",41412,356,,
IG Bulg 1(2),20002,2212,,
"IG Bulg 3,1",41338,405,,
IG Bulg 2,30601,2358,,
IG Bulg 4,62154,2181,,
IG Bulg 1(2),20046,2287,,
I Aeg Thrace,10302,2287,,
IG Bulg 2,30536,1594,,
IK Byzantion,95074,624,,
IG Bulg 4,62192,336,,
IG Bulg 4,62214,1421,,
IG Bulg 4,62007,3891,,
IG Bulg 5,75338,4437,,
IG Bulg 4,62305,791,,
"IG Bulg 3,2",51690,1085,,
IK Byzantion,95215,7931,,
IG Bulg 1(2),20114,1117,,
IG Bulg 1(2),20293,5840,,
IG Bulg 2,30543,2261,,
"IG Bulg 3,1",41518,2189|172,,
IG Bulg 4,62214,526,,
IG Bulg 4,62277,196,,
IG Bulg 5,75683,11871,,
IK Byzantion,95260,2173|15257|10872,,
IG Bulg 1(2),20335.5,831,,
I Aeg Thrace,10212,1534,,
IG Bulg 1(2),20352,2176|2664|6533,,
IG Bulg 5,75250,2179|2189|2176,,
"IG Bulg 3,2",51567,2206|2659,,
IG Bulg 2,30867,473,,
IG Bulg 1(2),20163,3891,,
I Aeg Thrace,10350,2958,,
"IG Bulg 3,2",51718,3712,,
IG Bulg 5,75329,7881,,
IG Bulg 1(2),20423,775,,
"IG Bulg 3,1",41069,2176|2185|2656,,
IG Bulg 1(2),20014,2189|2219,,
"IG Bulg 3,2",51683,135,,
IG Bulg 2,30620,3674,,
"IG Bulg 3,2",51690,1442,,
IK Byzantion,95025,6986,,
"IG Bulg 3,2",51554,2176|2189|2609,,
IG Bulg 1(2),20079.2,1119,,
Perinthos-Herakleia,80160,2189,,
IG Bulg 4,62337,1645,,
"IG Bulg 3,2",51713.3,6761|7007,,
"IG Bulg 3,1",41115,2634|2429,,
I Aeg Thrace,10345,4213,,
IG Bulg 4,62110,2176|10449,,
IG Bulg 4,62214,1594,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 5,75653,2178|2196|11598,,
IK Byzantion,95194,15125,,
IG Bulg 1(2),20051,2176,,
IG Bulg 5,75332,2176|2609,,
IG Bulg 1(2),20013,2174|2664,,
IG Bulg 5,75888.3,9528,,
Other,100297,14917,,
I Aeg Thrace,10212,665,,
"IG Bulg 3,2",51690,2175|2206|2261|3325|8075,,
IG Bulg 1(2),20400,1146,,
IG Bulg 5,75302,5978,,
"IG Bulg 3,1",41440,10745,,
IG Bulg 4,62336,56,,
IG Bulg 2,30668,6355,,
IG Bulg 2,30867,1640,,
I Aeg Thrace,10394,2189|1107,,
"IG Bulg 3,2",51841,792,,
Perinthos-Herakleia,80128,2179|2196|11398,,
IK Byzantion,95116,1757,,
Other,100135,2287,,
IG Bulg 2,30663,5364,,
Other,100412,1429,,
IK Byzantion,95019,685,,
IG Bulg 4,61960,9144,,
IG Bulg 4,62217,2211|76,,
IG Bulg 1(2),20078.3,1757,,
IG Bulg 5,75331,13238,,
IK Byzantion,95370.1,15498,,
"IG Bulg 3,1",40913,2179|2211|2460,,
"IG Bulg 3,2",51787,2189|796,,
Perinthos-Herakleia,80147,12559,,
IG Bulg 1(2),20047.2,2189|784,,
IK Byzantion,95272,3891,,
IG Bulg 5,75244,389,,
IG Bulg 2,30798,6097|7152,,
IG Bulg 1(2),20251,5938|5939,,
IK Byzantion,95019,2175|14248|2257,,
Other,100042,772,,
IG Bulg 1(2),20136,5720,,
IK Byzantion,95178,15102,,
IK Sestos,90038,764,,
"IG Bulg 3,2",51593,209,,
I Aeg Thrace,10087,2465,,
"IG Bulg 3,1",41517,2189|6717,,
IG Bulg 5,75339,4399,,
Other,100218,10906|2211,,
IG Bulg 4,62312,11381,,
IK Byzantion,95273,2175|3960,,
Other,100122,663,,
"IG Bulg 3,1",41039,2176|2189,,
"IG Bulg 3,2",51700,2349|7718|7719,,
IG Bulg 1(2),20047.2,2176|2189|1702,,
I Aeg Thrace,10262,4499,,
"IG Bulg 3,2",51690,1436,,
IG Bulg 4,62330,1406,,
"IG Bulg 3,2",51667,135,,
IG Bulg 1(2),20308,6177,,
IG Bulg 1(2),20014.2,3891,,
Perinthos-Herakleia,80017,6867,,
Other,100080,2287,,
I Aeg Thrace,10432,2191|3343,,
I Aeg Thrace,10383,3074,,
IG Bulg 1(2),20211,2287|1297,,
IG Bulg 2,30558,3264|2243,,
I Aeg Thrace,10058,1624,,
IG Bulg 4,62270,2257|8959,,
IG Bulg 1(2),20163.2,128,,
Other,100247,15991,,
IG Bulg 1(2),20173,85,,
IK Sestos,90010,8137|13930,,
IG Bulg 4,62332,2929,,
IG Bulg 4,62013,7676|8093,,
IG Bulg 1(2),20052,5670,,
IG Bulg 4,62228,1172,,
I Aeg Thrace,10476,4807,,
IG Bulg 1(2),20022,567,,
"IG Bulg 3,1",41149,2189|2260,,
I Aeg Thrace,10156,4148,,
IK Byzantion,95369,1128,,
IG Bulg 2,30678,6465|6466,,
"IG Bulg 3,1",41024,2241,,
IG Bulg 1(2),20288,842,,
Perinthos-Herakleia,80092,1638,,
IG Bulg 1(2),20079.2,4901,,
IG Bulg 2,30506,1729,,
"IG Bulg 3,1",40950,1578,,
Other,100091,15741,,
IG Bulg 5,75217,2179|2181|2270,,
IG Bulg 4,62229,2211|654,,
"IG Bulg 3,2",51624,2175|2206|2261|3325|8075,,
IG Bulg 4,62337,1765,,
"IG Bulg 3,2",51690,7898,,
"IG Bulg 3,1",41340,142,,
IG Bulg 1(2),20175,1694,,
IG Bulg 5,75666,7767,,
IG Bulg 1(2),20038,3891,,
IG Bulg 5,75367,1003,,
IG Bulg 4,62270,2176|8959|11255,,
IG Bulg 2,30629,2429,,
"IG Bulg 3,1",40989,8767|8768,,
IG Bulg 2,30687,6501|2188|3149,,
IG Bulg 1(2),20046,1307,,
I Aeg Thrace,10306,3891|2241|4579,,
"IG Bulg 3,2",51690,7769,,
I Aeg Thrace,10244,4389,,
IK Byzantion,95095,14470,,
IG Bulg 4,62076,335,,
IG Bulg 5,75245,11949|2243,,
Perinthos-Herakleia,80027,2177|2181|12044|2252,,
IG Bulg 2,30657,1740,,
"IG Bulg 3,1",40903,2211|611,,
IG Bulg 1(2),20335.6,4150,,
I Aeg Thrace,10314,2591|4592,,
Perinthos-Herakleia,80121,2176|2330|12311,,
IG Bulg 1(2),20458.2,1243,,
IG Bulg 2,30630,2358,,
I Aeg Thrace,10084,2178|2196|497,,
Perinthos-Herakleia,80159,2189|1046,,
