personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
1153,1226,,,,,
1154,1151,,,,,
1154,831,,,,,
1156,,,,,,
11563,,,,,,
11567,,,,,,
1157,814,,,,,
1157,229,,,,,
1157,,,1536,,,
11574,,,,,,
11577|850,,,,,,
11583,816,,,,,
1159,361,,,,,
1159,,,1457,,,
116,20,,,,,
116,,,,,,
116,1761,,,,,
116,11563,,,,,
116,14909,,,,,
116,895,,,,,
116,2287,,133,,,
116,341,,,,,
116,196,,,,,
1160,2779,,,,,
11613,,,,,,
11617,,,,,,
11619,,,,,,
1162,,,15278,,,
11621,,,,,,
11625,11626,,,,,
11661,,,,,,
11672,10906,,,,,
11679,1192,,,,,
1169,,,,,,
1170,1433,,,,,
1170,1184,,,,,
1170,,,,,,
11709,1368,16675,,,,
1171,13765,,,,,
1171,485,,,,,
1171,13760,,,,,
11715,11717,,,,,
1172,10760,,,,,
11727,,,,,,
11730,792,,,,,
11735,111,,,,,
11737,1124,,,,,
11740,592,,961,1490,,
11748,,,,,,
1175,,,,,,
11750,,,,,,
11773,196,,,,,
11779,116,,,,,
11787,1319,,,,,
1179,1095,,,,,
118,,,,,,
118,,5756,,,,
118,793,2007,,,,
11802,,,,,,
11804,,,,,,
11812,451,,,,,
11815,971,,,,,
1182,,,173,,,
11822,11823,,,,,
11823,11823,,,,,
11828,,,,,,
1183,1128,,,,,
1183,10422,,,,,
1183,325,,,,,
1183,,,,,,
1183,1757,,,,,
11830,,,,,,
11833,,,,,,
11839,1457,,,,,
1184,14128,,,,,
1184,196,,133,,,
1184,679,,,,,
1184|11630,11631,,,,,
11845,1239,,267,,,
11854,522,,,,,
11862,,,,,,
1187,425,,,,,
11871,2458,,,,,
1188,484,,,,,
1189,7197,,,,,
1189,1194,,,,,
11892,,,,,,
1190,1369,,,,,
1190,1194,,,,,
1190,349,,,,,
1190,,,,,,
1190,274,,,,,
1190,5078,,,,,
1190,487,,,,,
1190,2454,,,,,
11903,,,,,,
1191,1194,,,,,
1191,56,,,,,
1191,,,,,,
1191,1741,,,,,
11912,389,,,,,
1192,485,,,,,
1192,14536,,,,,
1192,1278,,,,,
1192,,,1554,,,
1192,,,,,,
11920,11921,,,,,
1192|485,,,195,,,
1193,,,,,,
11935,,,2179,,,
11935,11936,,,,,
11936,,,,,,
1194,497,,,,,
1194,998,,,,,
1194,999,,,,,
1194,2722,,,,,
1194,7172,,,,,
1194,1085,,,,,
1194,1194,,,,,
1194,7734,,,,,
1194,2233,,,,,
1194,1442,,,,,
1194,1452,,,,,
1194,1476,,,,,
1194,1562,,,,,
1194,1683,,,,,
1194,,,,,,
1194,7856,,,,,
1194,7191,,,,,
1194,7731,,,,,
1194,581,,,,,
1194,535,,,,,
1194,532,,,,,
1194,7860,,,,,
1194,9544,,,,,
1194,7870,,,,,
1194,4336,,,,,
1194,478,,,,,
1194,2454,,,,,
1194,7202,,,,,
1194,423,,,,,
1194,7799,,,,,
1194,10085,,,,,
1194,317,,,,,
1194,310,,,,,
1194,307,,,,,
1194,295,,,,,
1194,274,,,,,
1194,7615,,,,,
1194,247,,,,,
1194,243,,,,,
1194,233,,,,,
11940,,,,,,
11946,,,,,,
11949|2243,,,,,,
1195,241,,,,,
1195,,,,,,
1195,579,,,,,
1195,489,,,,,
11951,,,,,,
1196,1165,,8974,,,
1196,2212,,,,,
1196,510,,,,,
1196,6891,,,,,
1196,7895,,,,,
1196,2452,,,,,
1196,,14074,,,,
1196,,,,,,
1196,10916,,,,,
1196,1757,,,,,
1196,1553,,,,,
1196,12631,,,,,
1196,8006,,,,,
1196,16041,,,,,
1196,1085,,,,,
1196|3240,10822,,,,,
1196|7007,,,,,,
1197,,8961,,,,
11971,11972,,,,,
11976,4437,,,,,
11978,968,,,,,
1198,,,,,,
11980,11981,,,,,
1199,1655,,,,,
11991,,,,,,
11994,,,,,,
11998,,,,,,
12,3197,,,,,
120,774,,,,,
1200,135,,,,,
12003,,,,,,
12009,,,,,,
12013,,,,,,
12017,,,,,,
12019,,,,,,
1202,3199,,,,,
12038,11971,,,,,
12077|716,12078,,,,,
12080,,,,,,
12083,,,,,,
12087,,,,,,
121,1156,,,,,
1211,1310,,,,,
12111,,,,,,
12115|902,,,,,,
1212,,,,,,
1212,196,,,,,
12120,12121,,,,,
1212|1740,7654,,,,,
1213,6457,,,,,
1214,,,,,,
12159|12160,,,,,,
1216,,,10404,,,
12166,449,,,,,
12166,15325,,,,,
12166,15489,,,,,
12166,2287,,,,,
12166,1708,,,,,
12166,12166,,,,,
1217,,,,,,
12171,12172,,,,,
12174,,,,,,
12179,179,,,,,
1218,1757,,,,,
12183,12184,,,,,
12186,12187,,,,,
12187,1241,14164,,,,
1219,,,,,,
12195,169,,,,,
12197,135,,,,,
12199,12200,,,,,
122,,,,,,
122,12195,,,,,
122,164,,,,,
12200,12281,,,,,
12200,12285,,,,,
12202,1124,,,,,
12204,135,,,,,
12208,12204,,,,,
1221,1190,,,,,
1221,212,,,,,
12210,141,,,,,
